Samp,Signal,I,Q,R,Phi
0,-1175,-0.48,0.69,0.84,2.18
1,-1471,-1.02,1.43,1.76,2.19
2,-1330,-1.02,2.27,2.49,1.99
3,-828,-0.71,2.69,2.78,1.83
4,-237,-0.57,2.73,2.79,1.78
5,153,-0.66,2.76,2.84,1.81
6,136,-0.71,2.83,2.92,1.82
7,-244,-0.71,2.67,2.77,1.83
8,-953,-1.06,2.19,2.43,2.02
9,-1706,-2.08,1.85,2.79,2.41
10,-2307,-3.46,2.3,4.15,2.55
11,-2272,-4.3,3.45,5.51,2.46
12,-1923,-4.29,4.66,6.34,2.32
13,-1261,-3.82,5.3,6.53,2.2
14,-512,-3.52,5.39,6.44,2.15
15,-12,-3.51,5.39,6.43,2.15
16,38,-3.52,5.4,6.45,2.15
17,-309,-3.52,5.21,6.28,2.16
18,-988,-3.88,4.7,6.09,2.26
19,-1738,-4.92,4.36,6.57,2.42
20,-2348,-6.31,4.81,7.94,2.49
21,-2286,-7.15,5.97,9.32,2.45
22,-1933,-7.15,7.18,10.13,2.35
23,-1270,-6.68,7.82,10.28,2.28
24,-523,-6.36,7.92,10.16,2.25
25,-17,-6.35,7.91,10.14,2.25
26,32,-6.35,7.92,10.16,2.25
27,-314,-6.35,7.72,10,2.26
28,-990,-6.71,7.21,9.85,2.32
29,-1742,-7.75,6.87,10.35,2.42
30,-2358,-9.15,7.32,11.72,2.47
31,-2286,-9.99,8.48,13.1,2.44
32,-1930,-9.98,9.69,13.91,2.37
33,-1266,-9.51,10.32,14.04,2.32
34,-536,-9.18,10.42,13.89,2.29
35,-49,-9.15,10.41,13.86,2.29
36,-4,-9.14,10.4,13.84,2.29
37,-341,-9.14,10.18,13.68,2.3
38,-1012,-9.5,9.66,13.55,2.35
39,-1648,-10.48,9.33,14.03,2.41
40,-2292,-11.84,9.77,15.35,2.45
41,-2345,-12.7,10.95,16.77,2.43
42,-1976,-12.7,12.19,17.6,2.38
43,-1307,-12.2,12.85,17.72,2.33
44,-573,-11.85,12.95,17.56,2.31
45,-77,-11.8,12.93,17.5,2.31
46,-18,-11.79,12.91,17.48,2.31
47,-350,-11.78,12.68,17.31,2.32
48,-1021,-12.15,12.15,17.18,2.36
49,-1638,-13.12,11.83,17.66,2.41
50,-2188,-14.42,12.25,18.92,2.44
51,-2374,-15.29,13.44,20.36,2.42
52,-2002,-15.28,14.69,21.2,2.38
53,-1330,-14.78,15.36,21.31,2.34
54,-593,-14.41,15.46,21.14,2.32
55,-89,-14.35,15.44,21.08,2.32
56,-26,-14.33,15.41,21.05,2.32
57,-364,-14.32,15.18,20.87,2.33
58,-1034,-14.7,14.64,20.74,2.36
59,-1640,-15.67,14.31,21.22,2.4
60,-2169,-16.95,14.73,22.46,2.43
61,-2388,-17.82,15.93,23.9,2.41
62,-2013,-17.81,17.18,24.75,2.37
63,-1325,-17.31,17.85,24.86,2.34
64,-594,-16.95,17.95,24.69,2.33
65,-88,-16.88,17.92,24.62,2.33
66,-26,-16.86,17.9,24.59,2.33
67,-369,-16.85,17.66,24.41,2.33
68,-1038,-17.22,17.12,24.28,2.36
69,-1639,-18.19,16.79,24.76,2.4
70,-2157,-19.47,17.2,25.98,2.42
71,-2389,-20.34,18.4,27.43,2.41
72,-2017,-20.33,19.65,28.28,2.37
73,-1329,-19.82,20.32,28.39,2.34
74,-597,-19.45,20.42,28.2,2.33
75,-93,-19.39,20.39,28.14,2.33
76,-37,-19.36,20.36,28.09,2.33
77,-382,-19.35,20.11,27.9,2.34
78,-1049,-19.72,19.56,27.78,2.36
79,-1680,-20.71,19.22,28.26,2.39
80,-2184,-22.01,19.63,29.49,2.41
81,-2353,-22.86,20.82,30.92,2.4
82,-1988,-22.85,22.05,31.75,2.37
83,-1312,-22.35,22.71,31.86,2.35
84,-570,-21.99,22.8,31.68,2.34
85,-52,-21.95,22.78,31.63,2.34
86,6,-21.94,22.77,31.62,2.34
87,-351,-21.92,22.53,31.44,2.34
88,-1028,-22.29,21.99,31.31,2.36
89,-1730,-23.31,21.65,31.81,2.39
90,-2278,-24.65,22.07,33.09,2.41
91,-2295,-25.49,23.23,34.48,2.4
92,-1947,-25.47,24.43,35.3,2.38
93,-1289,-24.98,25.07,35.39,2.35
94,-552,-24.63,25.17,35.22,2.35
95,-37,-24.6,25.14,35.17,2.35
96,17,-24.59,25.14,35.16,2.35
97,-337,-24.57,24.91,34.99,2.35
98,-1012,-24.93,24.38,34.87,2.37
99,-1733,-25.95,24.03,35.36,2.39
100,-2325,-27.32,24.46,36.67,2.41
101,-2282,-28.15,25.61,38.05,2.4
102,-1933,-28.13,26.8,38.86,2.38
103,-1274,-27.64,27.44,38.95,2.36
104,-540,-27.3,27.52,38.77,2.35
105,-33,-27.26,27.5,38.72,2.35
106,21,-27.26,27.49,38.71,2.35
107,-329,-27.24,27.27,38.54,2.36
108,-1001,-27.59,26.74,38.42,2.37
109,-1748,-28.62,26.39,38.93,2.4
110,-2354,-30.01,26.83,40.25,2.41
111,-2293,-30.83,27.98,41.63,2.4
112,-1942,-30.81,29.18,42.44,2.38
113,-1279,-30.32,29.81,42.52,2.36
114,-539,-29.98,29.9,42.34,2.36
115,-33,-29.94,29.87,42.29,2.36
116,21,-29.93,29.86,42.28,2.36
117,-324,-29.91,29.64,42.11,2.36
118,-998,-30.26,29.11,41.99,2.38
119,-1746,-31.29,28.76,42.49,2.4
120,-2365,-32.68,29.2,43.82,2.41
121,-2289,-33.5,30.34,45.2,2.41
122,-1930,-33.48,31.54,46,2.39
123,-1265,-33,32.16,46.07,2.37
124,-536,-32.65,32.24,45.89,2.36
125,-53,-32.6,32.21,45.83,2.36
126,-2,-32.58,32.19,45.8,2.36
127,-338,-32.56,31.96,45.62,2.37
128,-1014,-32.91,31.42,45.51,2.38
129,-1651,-33.88,31.08,45.98,2.4
130,-2293,-35.23,31.51,47.26,2.41
131,-2332,-36.07,32.67,48.67,2.41
132,-1968,-36.04,33.89,49.47,2.39
133,-1300,-35.54,34.53,49.55,2.37
134,-569,-35.18,34.62,49.36,2.36
135,-74,-35.11,34.58,49.28,2.36
136,-18,-35.08,34.55,49.24,2.36
137,-349,-35.06,34.31,49.06,2.37
138,-1020,-35.42,33.77,48.94,2.38
139,-1637,-36.37,33.43,49.4,2.4
140,-2286,-37.72,33.85,50.68,2.41
141,-2336,-38.55,35.02,52.08,2.4
142,-1975,-38.53,36.24,52.89,2.39
143,-1309,-38.02,36.88,52.97,2.37
144,-580,-37.65,36.97,52.77,2.37
145,-81,-37.58,36.93,52.69,2.36
146,-22,-37.55,36.9,52.64,2.36
147,-360,-37.53,36.65,52.45,2.37
148,-1031,-37.88,36.1,52.33,2.38
149,-1638,-38.84,35.76,52.79,2.4
150,-2299,-40.19,36.18,54.08,2.41
151,-2350,-41.03,37.35,55.49,2.4
152,-1987,-41,38.58,56.3,2.39
153,-1317,-40.49,39.22,56.37,2.37
154,-590,-40.11,39.31,56.17,2.37
155,-84,-40.04,39.27,56.08,2.37
156,-25,-40,39.24,56.03,2.37
157,-368,-39.98,38.98,55.84,2.37
158,-1039,-40.34,38.43,55.71,2.38
159,-1638,-41.29,38.09,56.17,2.4
160,-2293,-42.63,38.51,57.45,2.41
161,-2357,-43.48,39.68,58.86,2.4
162,-1993,-43.45,40.91,59.68,2.39
163,-1324,-42.93,41.55,59.75,2.37
164,-587,-42.56,41.64,59.54,2.37
165,-80,-42.48,41.6,59.46,2.37
166,-23,-42.45,41.56,59.41,2.37
167,-366,-42.42,41.31,59.21,2.37
168,-1037,-42.78,40.75,59.08,2.38
169,-1636,-43.73,40.41,59.54,2.4
170,-2289,-45.07,40.83,60.81,2.41
171,-2353,-45.91,42,62.22,2.4
172,-1987,-45.88,43.22,63.03,2.39
173,-1316,-45.36,43.86,63.1,2.37
174,-581,-44.99,43.95,62.89,2.37
175,-74,-44.91,43.91,62.81,2.37
176,-14,-44.88,43.87,62.76,2.37
177,-354,-44.85,43.62,62.57,2.37
178,-1023,-45.2,43.07,62.44,2.38
179,-1611,-46.14,42.73,62.89,2.39
180,-2270,-47.46,43.15,64.14,2.4
181,-2359,-48.3,44.32,65.56,2.4
182,-1989,-48.27,45.54,66.37,2.39
183,-1317,-47.76,46.18,66.43,2.37
184,-586,-47.38,46.27,66.22,2.37
185,-81,-47.3,46.22,66.13,2.37
186,-21,-47.26,46.18,66.08,2.37
187,-361,-47.23,45.93,65.88,2.37
188,-1030,-47.58,45.37,65.75,2.38
189,-1614,-48.52,45.03,66.2,2.39
190,-2273,-49.84,45.45,67.45,2.4
191,-2358,-50.68,46.61,68.86,2.4
192,-1992,-50.65,47.84,69.67,2.38
193,-1322,-50.13,48.48,69.74,2.37
194,-590,-49.75,48.56,69.52,2.37
195,-85,-49.67,48.52,69.43,2.37
196,-24,-49.63,48.47,69.37,2.37
197,-363,-49.6,48.21,69.17,2.37
198,-1032,-49.94,47.66,69.04,2.38
199,-1622,-50.88,47.32,69.48,2.39
200,-2277,-52.21,47.73,70.74,2.4
201,-2356,-53.05,48.89,72.14,2.4
202,-1990,-53.01,50.11,72.95,2.38
203,-1319,-52.49,50.75,73.02,2.37
204,-585,-52.11,50.83,72.8,2.37
205,-80,-52.03,50.79,72.71,2.37
206,-20,-51.99,50.74,72.65,2.37
207,-359,-51.96,50.49,72.45,2.37
208,-1029,-52.31,49.93,72.31,2.38
209,-1620,-53.24,49.59,72.76,2.39
210,-2278,-54.57,50,74.01,2.4
211,-2357,-55.4,51.16,75.41,2.4
212,-1990,-55.37,52.38,76.22,2.38
213,-1320,-54.85,53.02,76.28,2.37
214,-586,-54.46,53.1,76.06,2.37
215,-82,-54.38,53.05,75.97,2.37
216,-24,-54.34,53.01,75.91,2.37
217,-359,-54.3,52.75,75.7,2.37
218,-1030,-54.65,52.19,75.57,2.38
219,-1623,-55.58,51.84,76.01,2.39
220,-2277,-56.91,52.25,77.26,2.4
221,-2365,-57.75,53.42,78.67,2.4
222,-1996,-57.71,54.64,79.47,2.38
223,-1326,-57.18,55.28,79.54,2.37
224,-590,-56.8,55.36,79.31,2.37
225,-86,-56.71,55.31,79.21,2.37
226,-26,-56.66,55.26,79.15,2.37
227,-363,-56.63,55,78.94,2.37
228,-1032,-56.97,54.44,78.8,2.38
229,-1624,-57.91,54.09,79.24,2.39
230,-2175,-59.17,54.48,80.43,2.4
231,-2389,-60.02,55.66,81.85,2.39
232,-2015,-59.98,56.89,82.67,2.38
233,-1322,-59.45,57.52,82.73,2.37
234,-588,-59.06,57.6,82.5,2.37
235,-86,-58.98,57.55,82.4,2.37
236,-27,-58.93,57.5,82.33,2.37
237,-362,-58.89,57.24,82.12,2.37
238,-1032,-59.24,56.68,81.98,2.38
239,-1625,-60.17,56.33,82.42,2.39
240,-2150,-61.42,56.71,83.59,2.4
241,-2391,-62.26,57.89,85.01,2.39
242,-2016,-62.22,59.12,85.83,2.38
243,-1328,-61.69,59.75,85.89,2.37
244,-593,-61.3,59.83,85.66,2.37
245,-95,-61.2,59.78,85.55,2.37
246,-34,-61.15,59.72,85.48,2.37
247,-366,-61.11,59.45,85.26,2.37
248,-1035,-61.46,58.89,85.12,2.38
249,-1626,-62.39,58.54,85.55,2.39
250,-2146,-63.63,58.92,86.72,2.39
251,-2391,-64.48,60.1,88.14,2.39
252,-2017,-64.43,61.32,88.95,2.38
253,-1327,-63.9,61.96,89.01,2.37
254,-593,-63.51,62.04,88.78,2.37
255,-97,-63.41,61.98,88.67,2.37
256,-41,-63.36,61.92,88.59,2.37
257,-378,-63.32,61.64,88.37,2.37
258,-1047,-63.66,61.07,88.22,2.38
259,-1661,-64.62,60.71,88.66,2.39
260,-2182,-65.88,61.1,89.85,2.39
261,-2282,-66.68,62.22,91.2,2.39
262,-1931,-66.64,63.39,91.97,2.38
263,-1270,-66.13,64,92.02,2.37
264,-524,-65.77,64.06,91.81,2.37
265,-13,-65.72,64.02,91.75,2.37
266,41,-65.7,64,91.72,2.37
267,-315,-65.66,63.76,91.52,2.37
268,-994,-65.98,63.21,91.38,2.38
269,-1731,-66.98,62.84,91.84,2.39
270,-2222,-68.26,63.23,93.05,2.39
271,-2324,-69.08,64.37,94.42,2.39
272,-1969,-69.03,65.57,95.21,2.38
273,-1300,-68.51,66.19,95.26,2.37
274,-551,-68.14,66.25,95.04,2.37
275,-34,-68.07,66.2,94.96,2.37
276,19,-68.04,66.17,94.91,2.37
277,-331,-68,65.92,94.71,2.37
278,-1005,-68.32,65.37,94.56,2.38
279,-1740,-69.32,64.99,95.02,2.39
280,-2232,-70.61,65.38,96.23,2.39
281,-2320,-71.42,66.52,97.6,2.39
282,-1959,-71.38,67.71,98.38,2.38
283,-1292,-70.86,68.32,98.43,2.37
284,-544,-70.49,68.39,98.21,2.37
285,-35,-70.42,68.34,98.13,2.37
286,20,-70.38,68.3,98.08,2.37
287,-326,-70.34,68.06,97.87,2.37
288,-1002,-70.67,67.5,97.73,2.38
289,-1746,-71.66,67.12,98.19,2.39
290,-2241,-72.96,67.52,99.4,2.39
291,-2322,-73.77,68.65,100.77,2.39
292,-1964,-73.72,69.84,101.55,2.38
293,-1294,-73.2,70.46,101.6,2.38
294,-546,-72.83,70.52,101.37,2.37
295,-39,-72.76,70.47,101.29,2.37
296,15,-72.72,70.43,101.23,2.37
297,-330,-72.67,70.18,101.03,2.37
298,-1002,-73,69.63,100.88,2.38
299,-1747,-73.99,69.24,101.34,2.39
300,-2241,-75.29,69.64,102.55,2.4
301,-2322,-76.1,70.77,103.92,2.39
302,-1961,-76.05,71.96,104.7,2.38
303,-1292,-75.52,72.57,104.74,2.38
304,-546,-75.15,72.63,104.51,2.37
305,-38,-75.08,72.58,104.42,2.37
306,19,-75.04,72.54,104.37,2.37
307,-325,-74.99,72.29,104.16,2.37
308,-1001,-75.32,71.74,104.01,2.38
309,-1747,-76.31,71.35,104.47,2.39
310,-2240,-77.6,71.74,105.68,2.4
311,-2320,-78.41,72.88,107.05,2.39
312,-1961,-78.36,74.06,107.82,2.38
313,-1292,-77.83,74.67,107.86,2.38
314,-544,-77.46,74.73,107.63,2.37
315,-38,-77.39,74.68,107.54,2.37
316,18,-77.35,74.64,107.49,2.37
317,-328,-77.3,74.39,107.28,2.38
318,-1001,-77.62,73.83,107.13,2.38
319,-1746,-78.61,73.45,107.58,2.39
320,-2244,-79.9,73.84,108.8,2.4
321,-2323,-80.71,74.97,110.16,2.39
322,-1965,-80.66,76.16,110.93,2.38
323,-1294,-80.13,76.77,110.97,2.38
324,-547,-79.76,76.82,110.74,2.37
325,-40,-79.68,76.77,110.65,2.37
326,18,-79.64,76.73,110.59,2.37
327,-327,-79.59,76.48,110.38,2.38
328,-1004,-79.91,75.92,110.22,2.38
329,-1745,-80.9,75.53,110.68,2.39
330,-2241,-82.19,75.92,111.89,2.4
331,-2324,-83,77.05,113.25,2.39
332,-1951,-82.94,78.23,114.02,2.39
333,-1297,-82.41,78.84,114.05,2.38
334,-545,-82.04,78.9,113.82,2.38
335,-31,-81.97,78.84,113.73,2.38
336,22,-81.92,78.8,113.67,2.38
337,-332,-81.87,78.54,113.45,2.38
338,-1005,-82.19,77.98,113.3,2.38
339,-1734,-83.17,77.6,113.75,2.39
340,-2233,-84.46,77.98,114.95,2.4
341,-2317,-85.26,79.11,116.31,2.39
342,-1952,-85.2,80.29,117.07,2.39
343,-1294,-84.67,80.89,117.1,2.38
344,-549,-84.29,80.95,116.87,2.38
345,-39,-84.22,80.89,116.77,2.38
346,17,-84.17,80.85,116.71,2.38
347,-332,-84.12,80.59,116.49,2.38
348,-1006,-84.44,80.03,116.34,2.38
349,-1735,-85.42,79.64,116.79,2.39
350,-2233,-86.7,80.03,117.99,2.4
351,-2318,-87.5,81.15,119.34,2.39
352,-1962,-87.45,82.33,120.11,2.39
353,-1294,-86.91,82.94,120.14,2.38
354,-549,-86.53,82.99,119.9,2.38
355,-38,-86.45,82.93,119.8,2.38
356,18,-86.41,82.89,119.74,2.38
357,-333,-86.35,82.63,119.52,2.38
358,-1008,-86.67,82.07,119.36,2.38
359,-1732,-87.65,81.68,119.81,2.39
360,-2233,-88.93,82.06,121,2.4
361,-2319,-89.73,83.19,122.36,2.39
362,-1962,-89.67,84.37,123.12,2.39
363,-1293,-89.14,84.97,123.15,2.38
364,-549,-88.75,85.03,122.91,2.38
365,-40,-88.67,84.96,122.81,2.38
366,18,-88.63,84.92,122.74,2.38
367,-331,-88.57,84.66,122.52,2.38
