Samp,Signal,I,Q,R,Phi
135,-1404,3.56,-10.24,10.84,-1.24
136,-1411,4.08,-10.95,11.69,-1.21
137,-1451,4.08,-11.86,12.54,-1.24
138,-1375,3.57,-12.55,13.05,-1.29
139,-1211,2.84,-12.78,13.09,-1.35
140,-1042,2.22,-12.57,12.76,-1.4
141,-911,1.88,-12.1,12.24,-1.42
142,-883,1.88,-11.53,11.69,-1.41
143,-977,2.24,-11.03,11.25,-1.37
144,-1133,2.91,-10.8,11.19,-1.31
145,-1418,3.76,-11.07,11.69,-1.24
146,-1385,4.27,-11.77,12.52,-1.22
147,-1428,4.27,-12.66,13.36,-1.25
148,-1363,3.76,-13.34,13.86,-1.3
149,-1205,3.04,-13.57,13.9,-1.35
150,-1018,2.43,-13.36,13.58,-1.39
151,-892,2.1,-12.9,13.07,-1.41
152,-866,2.1,-12.35,12.52,-1.4
153,-961,2.45,-11.85,12.1,-1.37
154,-1116,3.11,-11.63,12.04,-1.31
155,-1431,3.97,-11.9,12.54,-1.25
156,-1388,4.48,-12.6,13.37,-1.23
157,-1427,4.47,-13.48,14.21,-1.25
158,-1442,3.94,-14.21,14.74,-1.3
159,-1159,3.24,-14.42,14.78,-1.35
160,-992,2.65,-14.22,14.47,-1.39
161,-877,2.32,-13.77,13.96,-1.4
162,-860,2.32,-13.22,13.42,-1.4
163,-1013,2.7,-12.7,12.98,-1.36
164,-1095,3.35,-12.48,12.92,-1.31
165,-1350,4.15,-12.73,13.39,-1.26
166,-1430,4.68,-13.45,14.24,-1.24
167,-1443,4.67,-14.35,15.09,-1.26
168,-1365,4.17,-15.03,15.6,-1.3
169,-1193,3.45,-15.25,15.64,-1.35
170,-1028,2.84,-15.04,15.31,-1.38
171,-915,2.5,-14.57,14.78,-1.4
172,-881,2.49,-14.01,14.23,-1.39
173,-954,2.85,-13.51,13.81,-1.36
174,-1134,3.52,-13.29,13.74,-1.31
175,-1247,4.26,-13.52,14.18,-1.27
176,-1451,4.8,-14.25,15.03,-1.25
177,-1473,4.79,-15.16,15.9,-1.26
178,-1389,4.28,-15.86,16.43,-1.31
179,-1226,3.54,-16.09,16.47,-1.35
180,-1045,2.92,-15.88,16.14,-1.39
181,-914,2.58,-15.4,15.62,-1.41
182,-907,2.58,-14.82,15.04,-1.4
183,-984,2.94,-14.31,14.61,-1.37
184,-1146,3.62,-14.08,14.54,-1.32
185,-1211,4.34,-14.31,14.95,-1.28
186,-1363,4.84,-14.99,15.75,-1.26
187,-1407,4.84,-15.87,16.59,-1.27
188,-1338,4.34,-16.54,17.1,-1.31
189,-1187,3.63,-16.76,17.14,-1.36
190,-1022,3.02,-16.55,16.82,-1.39
191,-893,2.69,-16.08,16.3,-1.41
192,-875,2.68,-15.52,15.75,-1.4
193,-963,3.04,-15.02,15.33,-1.37
194,-1125,3.71,-14.8,15.25,-1.33
195,-1297,4.48,-15.04,15.69,-1.28
196,-1538,5.04,-15.81,16.6,-1.26
197,-1533,5.04,-16.76,17.5,-1.28
198,-1416,4.52,-17.47,18.05,-1.32
199,-1276,3.75,-17.71,18.1,-1.36
200,-1083,3.1,-17.49,17.76,-1.4
201,-945,2.75,-17,17.22,-1.41
202,-924,2.75,-16.41,16.63,-1.4
203,-922,3.09,-15.93,16.22,-1.38
204,-1191,3.8,-15.69,16.14,-1.33
205,-1235,4.53,-15.92,16.55,-1.29
206,-1415,5.05,-16.62,17.37,-1.28
207,-1537,5.05,-17.58,18.29,-1.29
208,-1426,4.52,-18.29,18.84,-1.33
209,-1257,3.77,-18.53,18.9,-1.37
210,-1066,3.13,-18.31,18.57,-1.4
211,-901,2.79,-17.84,18.05,-1.42
212,-900,2.79,-17.26,17.48,-1.41
213,-987,3.15,-16.75,17.04,-1.38
214,-1137,3.83,-16.52,16.96,-1.34
215,-1290,4.6,-16.76,17.38,-1.3
216,-1432,5.12,-17.47,18.21,-1.29
217,-1465,5.12,-18.38,19.08,-1.3
218,-1388,4.6,-19.08,19.63,-1.33
219,-1214,3.88,-19.3,19.69,-1.37
220,-1053,3.25,-19.08,19.36,-1.4
221,-917,2.9,-18.61,18.83,-1.42
222,-882,2.9,-18.04,18.27,-1.41
223,-982,3.26,-17.53,17.83,-1.39
224,-1144,3.94,-17.3,17.74,-1.35
225,-1394,4.78,-17.56,18.19,-1.31
226,-1405,5.29,-18.26,19.01,-1.29
227,-1433,5.29,-19.15,19.87,-1.3
228,-1370,4.78,-19.83,20.4,-1.33
229,-1212,4.05,-20.06,20.46,-1.37
230,-1029,3.43,-19.84,20.14,-1.4
231,-909,3.1,-19.37,19.61,-1.41
232,-888,3.09,-18.8,19.05,-1.41
233,-974,3.45,-18.29,18.62,-1.38
234,-1135,4.13,-18.06,18.53,-1.35
235,-1426,4.98,-18.33,18.99,-1.31
236,-1398,5.49,-19.02,19.8,-1.29
237,-1434,5.49,-19.91,20.66,-1.3
238,-1355,4.98,-20.59,21.18,-1.33
239,-1207,4.26,-20.81,21.24,-1.37
240,-1038,3.64,-20.6,20.91,-1.4
241,-905,3.3,-20.12,20.39,-1.41
242,-885,3.3,-19.56,19.83,-1.4
243,-973,3.65,-19.05,19.4,-1.38
244,-1116,4.32,-18.82,19.31,-1.35
245,-1418,5.16,-19.08,19.77,-1.31
246,-1437,5.69,-19.8,20.6,-1.29
247,-1396,5.69,-20.67,21.43,-1.3
248,-1330,5.19,-21.33,21.95,-1.33
249,-1181,4.48,-21.54,22.01,-1.37
250,-1014,3.88,-21.33,21.68,-1.39
251,-977,3.51,-20.82,21.12,-1.4
252,-837,3.51,-20.29,20.59,-1.4
253,-921,3.85,-19.8,20.18,-1.38
254,-1160,4.54,-19.57,20.09,-1.34
255,-1345,5.34,-19.82,20.52,-1.31
256,-1391,5.85,-20.51,21.33,-1.29
257,-1435,5.85,-21.4,22.18,-1.3
258,-1362,5.34,-22.08,22.71,-1.33
259,-1207,4.61,-22.3,22.77,-1.37
260,-1025,4,-22.08,22.44,-1.39
261,-897,3.67,-21.62,21.92,-1.4
262,-884,3.66,-21.05,21.36,-1.4
263,-945,4.01,-20.55,20.94,-1.38
264,-1113,4.67,-20.32,20.85,-1.34
265,-1308,5.45,-20.57,21.28,-1.31
266,-1396,5.96,-21.26,22.08,-1.3
267,-1446,5.96,-22.16,22.94,-1.31
268,-1357,5.45,-22.83,23.47,-1.34
269,-1189,4.74,-23.05,23.53,-1.37
270,-1038,4.12,-22.83,23.2,-1.39
271,-901,3.78,-22.36,22.68,-1.4
272,-890,3.78,-21.79,22.11,-1.4
273,-964,4.13,-21.28,21.68,-1.38
274,-1129,4.81,-21.05,21.59,-1.35
275,-1319,5.59,-21.29,22.02,-1.31
276,-1422,6.11,-22,22.84,-1.3
277,-1455,6.11,-22.9,23.7,-1.31
278,-1383,5.59,-23.59,24.25,-1.34
279,-1219,4.86,-23.81,24.3,-1.37
280,-1055,4.23,-23.59,23.97,-1.39
281,-925,3.88,-23.11,23.43,-1.4
282,-906,3.88,-22.53,22.86,-1.4
283,-986,4.24,-22.01,22.42,-1.38
284,-1145,4.92,-21.77,22.32,-1.35
285,-1324,5.71,-22.02,22.75,-1.32
286,-1438,6.24,-22.73,23.58,-1.3
287,-1466,6.24,-23.64,24.45,-1.31
288,-1388,5.72,-24.33,24.99,-1.34
289,-1231,4.98,-24.56,25.06,-1.37
290,-1061,4.34,-24.33,24.72,-1.39
291,-933,4,-23.84,24.18,-1.4
292,-913,3.99,-23.26,23.6,-1.4
293,-1001,4.36,-22.73,23.15,-1.38
294,-1163,5.05,-22.49,23.05,-1.35
295,-1331,5.85,-22.74,23.48,-1.32
296,-1445,6.37,-23.46,24.31,-1.31
297,-1474,6.37,-24.37,25.19,-1.32
298,-1394,5.85,-25.06,25.74,-1.34
299,-1235,5.11,-25.28,25.8,-1.37
300,-1068,4.47,-25.06,25.46,-1.39
301,-936,4.12,-24.57,24.91,-1.4
302,-918,4.12,-23.98,24.33,-1.4
303,-1003,4.49,-23.45,23.88,-1.38
304,-1164,5.18,-23.21,23.78,-1.35
305,-1332,5.97,-23.46,24.2,-1.32
306,-1444,6.5,-24.18,25.03,-1.31
307,-1474,6.5,-25.09,25.91,-1.32
308,-1394,5.98,-25.78,26.46,-1.34
309,-1238,5.23,-26,26.52,-1.37
310,-1065,4.6,-25.78,26.19,-1.39
311,-935,4.25,-25.29,25.64,-1.4
312,-917,4.24,-24.7,25.06,-1.4
313,-1004,4.61,-24.17,24.61,-1.38
314,-1162,5.3,-23.93,24.51,-1.35
315,-1328,6.09,-24.17,24.93,-1.32
316,-1444,6.62,-24.89,25.76,-1.31
317,-1474,6.62,-25.8,26.64,-1.32
318,-1390,6.1,-26.49,27.19,-1.34
319,-1233,5.36,-26.71,27.25,-1.37
320,-1064,4.72,-26.49,26.91,-1.39
321,-934,4.37,-26,26.37,-1.4
322,-915,4.37,-25.41,25.78,-1.4
323,-998,4.74,-24.89,25.33,-1.38
324,-1158,5.43,-24.65,25.24,-1.35
325,-1328,6.22,-24.89,25.65,-1.33
326,-1439,6.74,-25.6,26.48,-1.31
327,-1468,6.74,-26.51,27.35,-1.32
328,-1389,6.22,-27.2,27.9,-1.35
329,-1231,5.48,-27.42,27.96,-1.37
330,-1060,4.85,-27.2,27.63,-1.39
331,-927,4.5,-26.71,27.09,-1.4
332,-908,4.5,-26.12,26.51,-1.4
333,-998,4.86,-25.6,26.06,-1.38
334,-1154,5.55,-25.36,25.96,-1.36
335,-1327,6.34,-25.6,26.37,-1.33
336,-1440,6.87,-26.32,27.2,-1.32
337,-1469,6.86,-27.22,28.07,-1.32
338,-1387,6.35,-27.91,28.62,-1.35
339,-1226,5.61,-28.13,28.68,-1.37
340,-1058,4.97,-27.91,28.35,-1.39
341,-925,4.63,-27.42,27.81,-1.4
342,-910,4.63,-26.83,27.23,-1.4
343,-994,4.99,-26.31,26.78,-1.38
344,-1153,5.68,-26.07,26.68,-1.36
345,-1327,6.47,-26.31,27.09,-1.33
346,-1437,6.99,-27.02,27.91,-1.32
347,-1466,6.99,-27.93,28.79,-1.33
348,-1384,6.47,-28.61,29.34,-1.35
349,-1227,5.74,-28.83,29.4,-1.37
350,-1057,5.1,-28.61,29.06,-1.39
351,-926,4.75,-28.12,28.52,-1.4
352,-907,4.75,-27.53,27.94,-1.4
353,-994,5.12,-27.01,27.49,-1.38
354,-1154,5.8,-26.77,27.39,-1.36
355,-1221,6.53,-26.99,27.77,-1.33
356,-1476,7.07,-27.72,28.61,-1.32
357,-1496,7.06,-28.65,29.5,-1.33
358,-1408,6.54,-29.34,30.06,-1.35
359,-1245,5.79,-29.57,30.13,-1.38
360,-1070,5.15,-29.34,29.79,-1.4
361,-938,4.8,-28.85,29.24,-1.41
362,-916,4.8,-28.25,28.66,-1.4
363,-999,5.16,-27.73,28.2,-1.39
364,-1157,5.85,-27.49,28.1,-1.36
365,-1223,6.58,-27.71,28.48,-1.34
366,-1482,7.12,-28.44,29.32,-1.33
367,-1500,7.12,-29.37,30.22,-1.33
368,-1411,6.59,-30.06,30.78,-1.35
369,-1249,5.84,-30.29,30.85,-1.38
370,-1074,5.2,-30.06,30.51,-1.4
371,-938,4.85,-29.56,29.96,-1.41
372,-919,4.84,-28.97,29.37,-1.41
373,-1003,5.21,-28.44,28.91,-1.39
374,-1162,5.9,-28.2,28.81,-1.36
375,-1211,6.62,-28.41,29.18,-1.34
376,-1483,7.16,-29.15,30.02,-1.33
377,-1502,7.16,-30.08,30.92,-1.34
378,-1415,6.63,-30.78,31.48,-1.36
379,-1242,5.89,-31,31.55,-1.38
380,-1093,5.23,-30.77,31.21,-1.4
381,-953,4.87,-30.26,30.65,-1.41
382,-876,4.87,-29.69,30.09,-1.41
383,-1036,5.25,-29.15,29.62,-1.39
384,-1173,5.95,-28.9,29.51,-1.37
385,-1217,6.67,-29.12,29.87,-1.35
386,-1490,7.22,-29.86,30.72,-1.33
387,-1417,7.21,-30.73,31.57,-1.34
388,-1442,6.68,-31.44,32.14,-1.36
389,-1272,5.91,-31.67,32.22,-1.39
390,-1014,5.3,-31.45,31.9,-1.4
391,-938,4.95,-30.96,31.35,-1.41
392,-915,4.95,-30.36,30.76,-1.41
393,-987,5.31,-29.84,30.31,-1.39
394,-1146,5.99,-29.6,30.2,-1.37
395,-1390,6.82,-29.85,30.62,-1.35
396,-1408,7.33,-30.55,31.42,-1.34
397,-1444,7.33,-31.44,32.28,-1.34
398,-1356,6.82,-32.11,32.82,-1.36
399,-1216,6.09,-32.32,32.89,-1.38
400,-1048,5.46,-32.1,32.56,-1.4
401,-914,5.12,-31.61,32.03,-1.41
402,-895,5.12,-31.03,31.45,-1.41
403,-970,5.47,-30.52,31.01,-1.39
404,-1139,6.15,-30.28,30.9,-1.37
405,-1400,6.98,-30.53,31.32,-1.35
406,-1394,7.49,-31.22,32.11,-1.34
407,-1436,7.49,-32.1,32.97,-1.34
408,-1362,6.98,-32.78,33.51,-1.36
409,-1207,6.26,-32.99,33.58,-1.38
410,-1037,5.63,-32.77,33.25,-1.4
411,-902,5.3,-32.29,32.72,-1.41
412,-881,5.29,-31.71,32.15,-1.41
413,-969,5.65,-31.2,31.71,-1.39
414,-1127,6.32,-30.96,31.6,-1.37
415,-1417,7.16,-31.22,32.03,-1.35
416,-1390,7.67,-31.91,32.82,-1.33
417,-1428,7.66,-32.78,33.67,-1.34
418,-1352,7.16,-33.45,34.21,-1.36
419,-1193,6.44,-33.66,34.27,-1.38
420,-1022,5.83,-33.44,33.94,-1.4
421,-889,5.5,-32.97,33.42,-1.41
422,-870,5.49,-32.4,32.86,-1.4
423,-950,5.84,-31.9,32.43,-1.39
424,-1114,6.5,-31.66,32.32,-1.37
425,-1418,7.35,-31.92,32.75,-1.34
426,-1381,7.85,-32.6,33.53,-1.33
427,-1472,7.85,-33.5,34.41,-1.34
428,-1320,7.35,-34.15,34.94,-1.36
429,-1172,6.65,-34.36,35,-1.38
430,-1104,5.98,-34.12,34.64,-1.4
431,-857,5.66,-33.67,34.14,-1.4
432,-843,5.66,-33.11,33.6,-1.4
433,-920,6,-32.63,33.17,-1.39
434,-1090,6.64,-32.39,33.07,-1.37
435,-1380,7.46,-32.64,33.48,-1.35
436,-1394,7.97,-33.33,34.27,-1.34
437,-1432,7.97,-34.21,35.12,-1.34
438,-1390,7.45,-34.89,35.68,-1.36
439,-1200,6.73,-35.1,35.74,-1.38
440,-1035,6.11,-34.88,35.41,-1.4
441,-901,5.77,-34.4,34.88,-1.4
442,-874,5.77,-33.83,34.32,-1.4
443,-967,6.12,-33.32,33.88,-1.39
444,-1115,6.78,-33.08,33.77,-1.37
445,-1309,7.56,-33.31,34.16,-1.35
446,-1415,8.08,-34.01,34.96,-1.34
447,-1435,8.07,-34.89,35.81,-1.34
448,-1358,7.57,-35.56,36.36,-1.36
449,-1191,6.85,-35.77,36.42,-1.38
450,-1027,6.23,-35.55,36.09,-1.4
451,-913,5.89,-35.06,35.55,-1.4
452,-889,5.89,-34.48,34.98,-1.4
453,-964,6.24,-33.97,34.54,-1.39
454,-1138,6.92,-33.73,34.43,-1.37
455,-1320,7.7,-33.96,34.82,-1.35
456,-1424,8.22,-34.66,35.63,-1.34
457,-1455,8.22,-35.56,36.49,-1.34
458,-1377,7.7,-36.23,37.04,-1.36
459,-1228,6.96,-36.45,37.11,-1.38
460,-1053,6.33,-36.22,36.77,-1.4
461,-922,5.99,-35.73,36.23,-1.4
462,-910,5.98,-35.14,35.64,-1.4
463,-994,6.35,-34.61,35.19,-1.39
464,-1154,7.03,-34.36,35.08,-1.37
465,-1331,7.82,-34.6,35.47,-1.35
466,-1439,8.35,-35.31,36.28,-1.34
467,-1473,8.34,-36.21,37.16,-1.34
468,-1389,7.82,-36.9,37.72,-1.36
469,-1231,7.08,-37.11,37.78,-1.38
470,-1065,6.44,-36.88,37.44,-1.4
