Samp,Signal,I,Q,R,Phi,,,,
113,-715,-20.35,-2.27,20.48,-3.03,,,,
114,-554,-20.01,-2.16,20.12,-3.03,,,,
115,-612,-19.63,-2.28,19.76,-3.03,,,,
116,-878,-19.29,-2.72,19.48,-3,,,,
117,-1252,-19.28,-3.51,19.6,-2.96,,,,
118,-1569,-19.85,-4.3,20.31,-2.93,,,,
119,-1740,-20.88,-4.64,21.38,-2.92,,,,
120,-1680,-21.87,-4.31,22.29,-2.95,,,,
121,-1419,-22.38,-3.58,22.66,-2.98,,,,
122,-1054,-22.36,-2.92,22.55,-3.01,,,,
123,-715,-22.08,-2.56,22.23,-3.03,,,,
124,-556,-21.74,-2.45,21.88,-3.03,,,,
125,-613,-21.36,-2.56,21.51,-3.02,,,,
126,-877,-21.02,-3.01,21.24,-3,,,,
127,-1252,-21.01,-3.79,21.35,-2.96,,,,
128,-1570,-21.57,-4.59,22.06,-2.93,,,,
129,-1739,-22.6,-4.92,23.13,-2.93,,,,
130,-1679,-23.59,-4.59,24.03,-2.95,,,,
131,-1420,-24.1,-3.87,24.41,-2.98,,,,
132,-1056,-24.08,-3.2,24.29,-3.01,,,,
133,-715,-23.8,-2.84,23.97,-3.02,,,,
134,-552,-23.46,-2.73,23.62,-3.03,,,,
135,-615,-23.08,-2.85,23.25,-3.02,,,,
136,-877,-22.74,-3.29,22.98,-3,,,,
137,-1252,-22.72,-4.07,23.09,-2.96,,,,
138,-1569,-23.29,-4.87,23.79,-2.94,,,,
139,-1738,-24.31,-5.2,24.86,-2.93,,,,
140,-1681,-25.3,-4.87,25.77,-2.95,,,,
141,-1419,-25.81,-4.15,26.14,-2.98,,,,
142,-1055,-25.79,-3.48,26.03,-3.01,,,,
143,-715,-25.51,-3.12,25.7,-3.02,,,,
144,-556,-25.17,-3.01,25.34,-3.02,,,,
145,-614,-24.78,-3.13,24.98,-3.02,,,,
146,-878,-24.44,-3.57,24.7,-3,,,,
147,-1250,-24.43,-4.35,24.81,-2.97,,,,
148,-1571,-24.99,-5.15,25.52,-2.94,,,,
149,-1740,-26.02,-5.48,26.59,-2.93,,,,
150,-1680,-27,-5.15,27.49,-2.95,,,,
151,-1420,-27.51,-4.43,27.86,-2.98,,,,
152,-1056,-27.49,-3.76,27.75,-3.01,,,,
153,-715,-27.21,-3.4,27.42,-3.02,,,,
154,-554,-26.86,-3.29,27.06,-3.02,,,,
155,-612,-26.48,-3.4,26.7,-3.01,,,,
156,-878,-26.14,-3.85,26.42,-3,,,,
157,-1252,-26.12,-4.63,26.53,-2.97,,,,
158,-1571,-26.69,-5.43,27.23,-2.94,,,,
159,-1739,-27.71,-5.76,28.3,-2.94,,,,
160,-1681,-28.7,-5.43,29.21,-2.95,,,,
161,-1419,-29.2,-4.71,29.58,-2.98,,,,
162,-1055,-29.18,-4.04,29.46,-3,,,,
163,-714,-28.9,-3.68,29.14,-3.02,,,,
164,-556,-28.55,-3.57,28.77,-3.02,,,,
165,-613,-28.17,-3.68,28.41,-3.01,,,,
166,-878,-27.83,-4.13,28.13,-2.99,,,,
167,-1253,-27.81,-4.91,28.24,-2.97,,,,
168,-1570,-28.37,-5.71,28.94,-2.94,,,,
169,-1741,-29.39,-6.04,30.01,-2.94,,,,
170,-1681,-30.38,-5.71,30.91,-2.96,,,,
171,-1419,-30.88,-4.99,31.28,-2.98,,,,
172,-1057,-30.86,-4.32,31.16,-3,,,,
173,-716,-30.58,-3.95,30.83,-3.01,,,,
174,-554,-30.23,-3.84,30.47,-3.02,,,,
175,-613,-29.85,-3.96,30.11,-3.01,,,,
176,-878,-29.5,-4.4,29.83,-2.99,,,,
177,-1254,-29.48,-5.19,29.94,-2.97,,,,
178,-1571,-30.05,-5.98,30.64,-2.95,,,,
179,-1740,-31.07,-6.32,31.7,-2.94,,,,
