Samp,Signal,I,Q,R,Phi,,,,
1642,-784,-156.53,-117.64,195.81,-2.5,,,,
1643,-569,-156.23,-117.28,195.35,-2.5,,,,
1644,-583,-155.78,-117.09,194.88,-2.5,,,,
1645,-813,-155.2,-117.17,194.46,-2.49,,,,
1646,-1170,-154.67,-117.7,194.35,-2.49,,,,
1647,-1529,-154.57,-118.58,194.82,-2.49,,,,
1648,-1729,-155.11,-119.39,195.73,-2.49,,,,
1649,-1724,-156.04,-119.65,196.63,-2.49,,,,
1650,-1500,-156.84,-119.28,197.04,-2.49,,,,
1651,-1146,-157.17,-118.62,196.91,-2.5,,,,
1652,-786,-157.07,-118.05,196.49,-2.5,,,,
1653,-568,-156.76,-117.69,196.02,-2.5,,,,
1654,-580,-156.31,-117.5,195.55,-2.5,,,,
1655,-813,-155.73,-117.59,195.14,-2.49,,,,
1656,-1170,-155.2,-118.11,195.03,-2.49,,,,
1657,-1528,-155.1,-118.99,195.49,-2.49,,,,
1658,-1729,-155.64,-119.8,196.41,-2.49,,,,
1659,-1725,-156.58,-120.06,197.31,-2.49,,,,
1660,-1502,-157.37,-119.69,197.72,-2.49,,,,
1661,-1145,-157.7,-119.03,197.58,-2.5,,,,
1662,-784,-157.6,-118.47,197.16,-2.5,,,,
1663,-569,-157.29,-118.1,196.69,-2.5,,,,
1664,-581,-156.84,-117.92,196.23,-2.5,,,,
1665,-813,-156.26,-118,195.81,-2.49,,,,
1666,-1170,-155.73,-118.52,195.7,-2.49,,,,
1667,-1528,-155.63,-119.41,196.16,-2.49,,,,
1668,-1731,-156.17,-120.21,197.08,-2.49,,,,
1669,-1725,-157.11,-120.47,197.98,-2.49,,,,
1670,-1501,-157.9,-120.1,198.39,-2.49,,,,
1671,-1146,-158.23,-119.44,198.25,-2.49,,,,
1672,-783,-158.13,-118.88,197.83,-2.5,,,,
1673,-569,-157.82,-118.51,197.36,-2.5,,,,
1674,-580,-157.37,-118.33,196.9,-2.5,,,,
1675,-813,-156.79,-118.41,196.48,-2.49,,,,
1676,-1171,-156.26,-118.93,196.37,-2.49,,,,
1677,-1530,-156.16,-119.82,196.83,-2.49,,,,
1678,-1729,-156.7,-120.62,197.75,-2.49,,,,
1679,-1724,-157.63,-120.88,198.64,-2.49,,,,
1680,-1501,-158.43,-120.51,199.06,-2.49,,,,
1681,-1147,-158.75,-119.85,198.92,-2.49,,,,
1682,-783,-158.65,-119.29,198.5,-2.5,,,,
1683,-570,-158.34,-118.92,198.03,-2.5,,,,
1684,-582,-157.9,-118.73,197.56,-2.5,,,,
1685,-813,-157.31,-118.82,197.14,-2.49,,,,
1686,-1170,-156.78,-119.34,197.03,-2.49,,,,
1687,-1528,-156.68,-120.22,197.49,-2.49,,,,
1688,-1729,-157.22,-121.03,198.41,-2.49,,,,
1689,-1724,-158.15,-121.28,199.3,-2.49,,,,
1690,-1501,-158.95,-120.92,199.72,-2.49,,,,
1691,-1145,-159.27,-120.26,199.58,-2.49,,,,
1692,-785,-159.17,-119.69,199.15,-2.5,,,,
1693,-567,-158.86,-119.33,198.69,-2.5,,,,
1694,-580,-158.42,-119.14,198.22,-2.5,,,,
1695,-811,-157.83,-119.22,197.8,-2.49,,,,
1696,-1170,-157.3,-119.74,197.69,-2.49,,,,
1697,-1531,-157.2,-120.63,198.15,-2.49,,,,
1698,-1729,-157.74,-121.43,199.07,-2.49,,,,
1699,-1723,-158.67,-121.69,199.96,-2.49,,,,
1700,-1502,-159.47,-121.32,200.37,-2.49,,,,
1701,-1145,-159.79,-120.66,200.23,-2.49,,,,
1702,-783,-159.69,-120.1,199.81,-2.5,,,,
1703,-568,-159.38,-119.73,199.35,-2.5,,,,
1704,-581,-158.94,-119.54,198.88,-2.5,,,,
1705,-814,-158.35,-119.63,198.46,-2.49,,,,
1706,-1169,-157.82,-120.15,198.35,-2.49,,,,
1707,-1527,-157.72,-121.03,198.81,-2.49,,,,
1708,-1731,-158.26,-121.83,199.72,-2.49,,,,
1709,-1723,-159.19,-122.09,200.62,-2.49,,,,
1710,-1502,-159.99,-121.72,201.03,-2.49,,,,
1711,-1145,-160.31,-121.06,200.89,-2.49,,,,
1712,-783,-160.21,-120.5,200.46,-2.5,,,,
1713,-570,-159.9,-120.13,200,-2.5,,,,
1714,-581,-159.45,-119.94,199.53,-2.5,,,,
1715,-811,-158.87,-120.02,199.11,-2.49,,,,
1716,-1170,-158.33,-120.54,199,-2.49,,,,
1717,-1530,-158.23,-121.43,199.46,-2.49,,,,
1718,-1728,-158.77,-122.23,200.37,-2.49,,,,
1719,-1724,-159.7,-122.49,201.27,-2.49,,,,
1720,-1500,-160.5,-122.12,201.68,-2.49,,,,
1721,-1146,-160.82,-121.46,201.54,-2.49,,,,
1722,-783,-160.72,-120.89,201.11,-2.5,,,,
1723,-568,-160.41,-120.53,200.65,-2.5,,,,
1724,-581,-159.96,-120.34,200.17,-2.5,,,,
1725,-812,-159.38,-120.42,199.76,-2.49,,,,
1726,-1170,-158.84,-120.94,199.65,-2.49,,,,
1727,-1528,-158.74,-121.82,200.1,-2.49,,,,
1728,-1729,-159.28,-122.63,201.02,-2.49,,,,
1729,-1723,-160.21,-122.88,201.91,-2.49,,,,
1730,-1502,-161.01,-122.52,202.32,-2.49,,,,
1731,-1145,-161.33,-121.86,202.18,-2.49,,,,
1732,-784,-161.23,-121.29,201.76,-2.5,,,,
1733,-569,-160.92,-120.92,201.29,-2.5,,,,
1734,-581,-160.47,-120.73,200.82,-2.5,,,,
1735,-811,-159.88,-120.82,200.4,-2.49,,,,
1736,-1168,-159.35,-121.33,200.29,-2.49,,,,
1737,-1530,-159.25,-122.22,200.75,-2.49,,,,
1738,-1729,-159.79,-123.02,201.66,-2.49,,,,
1739,-1723,-160.72,-123.28,202.55,-2.49,,,,
1740,-1501,-161.52,-122.91,202.96,-2.49,,,,
1741,-1145,-161.84,-122.25,202.82,-2.49,,,,
1742,-784,-161.74,-121.68,202.4,-2.5,,,,
1743,-568,-161.42,-121.31,201.93,-2.5,,,,
1744,-579,-160.98,-121.13,201.46,-2.5,,,,
1745,-813,-160.39,-121.21,201.04,-2.49,,,,
1746,-1170,-159.86,-121.73,200.93,-2.49,,,,
1747,-1529,-159.76,-122.61,201.38,-2.49,,,,
1748,-1730,-160.3,-123.41,202.3,-2.49,,,,
1749,-1725,-161.23,-123.67,203.19,-2.49,,,,
1750,-1502,-162.02,-123.3,203.6,-2.49,,,,
1751,-1145,-162.34,-122.64,203.46,-2.49,,,,
1752,-783,-162.24,-122.07,203.04,-2.5,,,,
1753,-569,-161.93,-121.71,202.57,-2.5,,,,
1754,-581,-161.48,-121.52,202.09,-2.5,,,,
1755,-812,-160.89,-121.6,201.67,-2.49,,,,
1756,-1169,-160.36,-122.12,201.56,-2.49,,,,
1757,-1528,-160.26,-123,202.02,-2.49,,,,
1758,-1730,-160.8,-123.8,202.93,-2.49,,,,
1759,-1724,-161.73,-124.06,203.83,-2.49,,,,
1760,-1500,-162.52,-123.69,204.24,-2.49,,,,
1761,-1145,-162.84,-123.03,204.09,-2.49,,,,
1762,-785,-162.74,-122.46,203.67,-2.5,,,,
1763,-568,-162.43,-122.09,203.2,-2.5,,,,
1764,-581,-161.98,-121.9,202.73,-2.5,,,,
1765,-813,-161.39,-121.99,202.31,-2.49,,,,
1766,-1172,-160.86,-122.5,202.19,-2.49,,,,
1767,-1529,-160.76,-123.39,202.65,-2.49,,,,
1768,-1729,-161.29,-124.19,203.56,-2.49,,,,
1769,-1724,-162.22,-124.45,204.46,-2.49,,,,
1770,-1502,-163.02,-124.08,204.86,-2.49,,,,
1771,-1145,-163.34,-123.42,204.72,-2.49,,,,
1772,-783,-163.23,-122.85,204.3,-2.5,,,,
1773,-566,-162.92,-122.48,203.83,-2.5,,,,
1774,-581,-162.47,-122.29,203.35,-2.5,,,,
1775,-815,-161.89,-122.37,202.93,-2.49,,,,
1776,-1169,-161.35,-122.89,202.82,-2.49,,,,
1777,-1530,-161.25,-123.77,203.28,-2.49,,,,
1778,-1730,-161.79,-124.58,204.19,-2.49,,,,
1779,-1725,-162.72,-124.83,205.08,-2.49,,,,
1780,-1502,-163.51,-124.46,205.49,-2.49,,,,
1781,-1145,-163.83,-123.8,205.35,-2.49,,,,
1782,-780,-163.73,-123.23,204.92,-2.5,,,,
1783,-571,-163.42,-122.87,204.45,-2.5,,,,
1784,-583,-162.96,-122.68,203.98,-2.5,,,,
1785,-815,-162.38,-122.76,203.56,-2.49,,,,
1786,-1159,-161.85,-123.27,203.44,-2.49,,,,
1787,-1529,-161.74,-124.15,203.9,-2.49,,,,
1788,-1733,-162.28,-124.96,204.82,-2.49,,,,
1789,-1726,-163.21,-125.21,205.71,-2.49,,,,
1790,-1504,-164.01,-124.84,206.12,-2.49,,,,
1791,-1149,-164.33,-124.18,205.97,-2.49,,,,
1792,-777,-164.22,-123.61,205.55,-2.5,,,,
1793,-571,-163.91,-123.24,205.08,-2.5,,,,
1794,-575,-163.46,-123.06,204.61,-2.5,,,,
1795,-816,-162.87,-123.14,204.18,-2.49,,,,
1796,-1172,-162.34,-123.66,204.07,-2.49,,,,
1797,-1529,-162.24,-124.54,204.53,-2.49,,,,
1798,-1731,-162.77,-125.34,205.44,-2.49,,,,
1799,-1727,-163.7,-125.6,206.33,-2.49,,,,
1800,-1501,-164.5,-125.23,206.74,-2.49,,,,
1801,-1146,-164.82,-124.56,206.59,-2.49,,,,
1802,-783,-164.71,-123.99,206.17,-2.5,,,,
1803,-569,-164.4,-123.63,205.7,-2.5,,,,
1804,-582,-163.95,-123.44,205.22,-2.5,,,,
1805,-812,-163.36,-123.52,204.8,-2.49,,,,
1806,-1170,-162.83,-124.03,204.69,-2.49,,,,
1807,-1530,-162.72,-124.92,205.14,-2.49,,,,
1808,-1730,-163.26,-125.72,206.06,-2.49,,,,
1809,-1724,-164.19,-125.97,206.95,-2.49,,,,
1810,-1501,-164.98,-125.6,207.35,-2.49,,,,
1811,-1146,-165.3,-124.94,207.21,-2.49,,,,
1812,-785,-165.2,-124.37,206.78,-2.5,,,,
1813,-568,-164.88,-124,206.31,-2.5,,,,
1814,-581,-164.43,-123.81,205.83,-2.5,,,,
1815,-814,-163.84,-123.89,205.41,-2.49,,,,
1816,-1170,-163.31,-124.41,205.3,-2.49,,,,
1817,-1530,-163.21,-125.29,205.75,-2.49,,,,
1818,-1729,-163.74,-126.09,206.67,-2.49,,,,
1819,-1724,-164.67,-126.35,207.56,-2.49,,,,
1820,-1501,-165.46,-125.98,207.96,-2.49,,,,
1821,-1145,-165.78,-125.32,207.82,-2.49,,,,
1822,-783,-165.68,-124.75,207.39,-2.5,,,,
1823,-569,-165.36,-124.38,206.92,-2.5,,,,
1824,-581,-164.91,-124.19,206.44,-2.5,,,,
1825,-812,-164.32,-124.27,206.02,-2.49,,,,
1826,-1170,-163.79,-124.78,205.91,-2.49,,,,
1827,-1529,-163.69,-125.67,206.36,-2.49,,,,
1828,-1731,-164.22,-126.47,207.27,-2.49,,,,
1829,-1724,-165.15,-126.72,208.16,-2.49,,,,
1830,-1501,-165.94,-126.35,208.57,-2.49,,,,
1831,-1147,-166.26,-125.69,208.42,-2.49,,,,
1832,-784,-166.16,-125.12,208,-2.5,,,,
1833,-568,-165.84,-124.75,207.52,-2.5,,,,
1834,-581,-165.39,-124.56,207.05,-2.5,,,,
1835,-813,-164.8,-124.64,206.63,-2.49,,,,
1836,-1170,-164.27,-125.15,206.51,-2.49,,,,
1837,-1528,-164.16,-126.04,206.96,-2.49,,,,
1838,-1729,-164.7,-126.83,207.88,-2.49,,,,
1839,-1724,-165.62,-127.09,208.77,-2.49,,,,
1840,-1502,-166.42,-126.72,209.17,-2.49,,,,
1841,-1146,-166.74,-126.06,209.02,-2.49,,,,
1842,-784,-166.63,-125.48,208.6,-2.5,,,,
1843,-569,-166.32,-125.12,208.12,-2.5,,,,
1844,-582,-165.86,-124.93,207.65,-2.5,,,,
1845,-812,-165.28,-125,207.22,-2.49,,,,
1846,-1169,-164.74,-125.52,207.11,-2.49,,,,
1847,-1530,-164.64,-126.4,207.56,-2.49,,,,
1848,-1728,-165.17,-127.2,208.47,-2.49,,,,
1849,-1724,-166.1,-127.46,209.36,-2.49,,,,
1850,-1500,-166.89,-127.08,209.77,-2.49,,,,
1851,-1146,-167.21,-126.42,209.62,-2.49,,,,
1852,-784,-167.1,-125.85,209.19,-2.5,,,,
1853,-569,-166.79,-125.48,208.72,-2.5,,,,
1854,-582,-166.33,-125.29,208.24,-2.5,,,,
1855,-812,-165.75,-125.37,207.82,-2.49,,,,
1856,-1171,-165.21,-125.89,207.7,-2.49,,,,
1857,-1529,-165.11,-126.77,208.16,-2.49,,,,
1858,-1730,-165.64,-127.57,209.07,-2.49,,,,
1859,-1724,-166.57,-127.82,209.96,-2.49,,,,
1860,-1503,-167.36,-127.45,210.36,-2.49,,,,
1861,-1146,-167.68,-126.79,210.22,-2.49,,,,
1862,-784,-167.57,-126.21,209.79,-2.5,,,,
1863,-568,-167.26,-125.85,209.31,-2.5,,,,
1864,-581,-166.8,-125.65,208.84,-2.5,,,,
1865,-815,-166.21,-125.73,208.41,-2.49,,,,
1866,-1170,-165.68,-126.25,208.3,-2.49,,,,
1867,-1527,-165.57,-127.13,208.75,-2.49,,,,
1868,-1730,-166.11,-127.93,209.66,-2.49,,,,
1869,-1724,-167.03,-128.18,210.55,-2.49,,,,
1870,-1500,-167.82,-127.81,210.95,-2.49,,,,
1871,-1146,-168.14,-127.15,210.8,-2.49,,,,
1872,-784,-168.04,-126.58,210.38,-2.5,,,,
1873,-570,-167.72,-126.21,209.9,-2.5,,,,
1874,-581,-167.27,-126.01,209.42,-2.5,,,,
1875,-814,-166.68,-126.09,209,-2.49,,,,
1876,-1170,-166.14,-126.61,208.88,-2.49,,,,
1877,-1530,-166.04,-127.49,209.34,-2.49,,,,
1878,-1729,-166.57,-128.29,210.25,-2.49,,,,
1879,-1724,-167.49,-128.54,211.13,-2.49,,,,
1880,-1501,-168.29,-128.17,211.54,-2.49,,,,
1881,-1146,-168.6,-127.51,211.39,-2.49,,,,
1882,-783,-168.5,-126.94,210.96,-2.5,,,,
1883,-567,-168.18,-126.57,210.49,-2.5,,,,
1884,-582,-167.73,-126.38,210.01,-2.5,,,,
1885,-814,-167.14,-126.45,209.58,-2.49,,,,
1886,-1170,-166.6,-126.97,209.47,-2.49,,,,
1887,-1528,-166.5,-127.85,209.92,-2.49,,,,
1888,-1730,-167.03,-128.65,210.83,-2.49,,,,
1889,-1724,-167.96,-128.9,211.72,-2.49,,,,
1890,-1501,-168.75,-128.53,212.12,-2.49,,,,
1891,-1144,-169.06,-127.87,211.97,-2.49,,,,
1892,-785,-168.96,-127.29,211.54,-2.5,,,,
1893,-568,-168.64,-126.93,211.07,-2.5,,,,
1894,-581,-168.19,-126.73,210.59,-2.5,,,,
1895,-813,-167.6,-126.81,210.17,-2.49,,,,
1896,-1171,-167.06,-127.33,210.05,-2.49,,,,
1897,-1530,-166.95,-128.21,210.5,-2.49,,,,
1898,-1728,-167.49,-129.01,211.41,-2.49,,,,
1899,-1723,-168.41,-129.26,212.3,-2.49,,,,
1900,-1499,-169.2,-128.89,212.7,-2.49,,,,
1901,-1147,-169.52,-128.22,212.55,-2.49,,,,
1902,-783,-169.41,-127.65,212.12,-2.5,,,,
1903,-567,-169.1,-127.28,211.65,-2.5,,,,
1904,-580,-168.64,-127.09,211.17,-2.5,,,,
1905,-814,-168.05,-127.17,210.74,-2.49,,,,
1906,-1171,-167.51,-127.68,210.63,-2.49,,,,
1907,-1528,-167.41,-128.56,211.08,-2.49,,,,
1908,-1730,-167.94,-129.36,211.99,-2.49,,,,
1909,-1724,-168.87,-129.61,212.87,-2.49,,,,
1910,-1501,-169.66,-129.24,213.28,-2.49,,,,
1911,-1145,-169.97,-128.58,213.13,-2.49,,,,
1912,-783,-169.87,-128.01,212.7,-2.5,,,,
1913,-570,-169.55,-127.64,212.22,-2.5,,,,
1914,-583,-169.09,-127.44,211.74,-2.5,,,,
1915,-813,-168.5,-127.52,211.32,-2.49,,,,
1916,-1171,-167.96,-128.04,211.2,-2.49,,,,
1917,-1529,-167.86,-128.92,211.65,-2.49,,,,
1918,-1730,-168.39,-129.71,212.56,-2.49,,,,
1919,-1724,-169.32,-129.97,213.45,-2.49,,,,
1920,-1500,-170.11,-129.59,213.85,-2.49,,,,
1921,-1146,-170.42,-128.93,213.7,-2.49,,,,
1922,-783,-170.31,-128.36,213.27,-2.5,,,,
1923,-567,-170,-127.99,212.79,-2.5,,,,
1924,-582,-169.54,-127.79,212.31,-2.5,,,,
1925,-812,-168.95,-127.87,211.89,-2.49,,,,
1926,-1170,-168.41,-128.39,211.77,-2.49,,,,
1927,-1529,-168.31,-129.27,212.22,-2.49,,,,
1928,-1728,-168.84,-130.06,213.13,-2.49,,,,
1929,-1725,-169.77,-130.32,214.02,-2.49,,,,
1930,-1501,-170.56,-129.94,214.42,-2.49,,,,
1931,-1145,-170.87,-129.28,214.27,-2.49,,,,
1932,-784,-170.76,-128.71,213.84,-2.5,,,,
1933,-569,-170.45,-128.34,213.36,-2.5,,,,
1934,-581,-169.99,-128.14,212.88,-2.5,,,,
1935,-812,-169.4,-128.22,212.45,-2.49,,,,
1936,-1170,-168.86,-128.73,212.34,-2.49,,,,
1937,-1529,-168.76,-129.61,212.79,-2.49,,,,
1938,-1730,-169.29,-130.41,213.7,-2.49,,,,
1939,-1723,-170.21,-130.66,214.58,-2.49,,,,
1940,-1500,-171,-130.29,214.98,-2.49,,,,
1941,-1145,-171.32,-129.63,214.83,-2.49,,,,
1942,-784,-171.21,-129.05,214.4,-2.5,,,,
1943,-568,-170.89,-128.68,213.92,-2.5,,,,
1944,-580,-170.44,-128.49,213.44,-2.5,,,,
1945,-813,-169.84,-128.57,213.02,-2.49,,,,
1946,-1171,-169.31,-129.08,212.9,-2.49,,,,
1947,-1529,-169.2,-129.96,213.35,-2.49,,,,
1948,-1731,-169.73,-130.76,214.26,-2.49,,,,
1949,-1724,-170.66,-131.01,215.14,-2.49,,,,
1950,-1501,-171.44,-130.64,215.54,-2.49,,,,
1951,-1147,-171.76,-129.97,215.39,-2.49,,,,
1952,-782,-171.65,-129.4,214.96,-2.5,,,,
1953,-569,-171.33,-129.03,214.49,-2.5,,,,
1954,-582,-170.88,-128.83,214.01,-2.5,,,,
1955,-814,-170.29,-128.91,213.58,-2.49,,,,
1956,-1171,-169.75,-129.43,213.46,-2.49,,,,
1957,-1529,-169.64,-130.31,213.91,-2.49,,,,
1958,-1730,-170.17,-131.1,214.82,-2.49,,,,
1959,-1724,-171.1,-131.35,215.7,-2.49,,,,
1960,-1499,-171.88,-130.98,216.1,-2.49,,,,
1961,-1146,-172.2,-130.32,215.95,-2.49,,,,
1962,-784,-172.09,-129.74,215.52,-2.5,,,,
1963,-568,-171.77,-129.37,215.04,-2.5,,,,
1964,-580,-171.32,-129.18,214.56,-2.5,,,,
1965,-814,-170.72,-129.26,214.13,-2.49,,,,
1966,-1172,-170.18,-129.77,214.02,-2.49,,,,
1967,-1530,-170.08,-130.65,214.47,-2.49,,,,
1968,-1729,-170.61,-131.45,215.37,-2.49,,,,
1969,-1724,-171.53,-131.7,216.26,-2.49,,,,
1970,-1501,-172.32,-131.32,216.66,-2.49,,,,
1971,-1144,-172.63,-130.66,216.51,-2.49,,,,
1972,-784,-172.53,-130.09,216.07,-2.5,,,,
1973,-568,-172.21,-129.71,215.6,-2.5,,,,
1974,-581,-171.75,-129.52,215.12,-2.5,,,,
1975,-814,-171.16,-129.6,214.69,-2.49,,,,
1976,-1171,-170.62,-130.11,214.57,-2.49,,,,
1977,-1531,-170.51,-130.99,215.02,-2.49,,,,
1978,-1728,-171.04,-131.79,215.92,-2.49,,,,
1979,-1724,-171.97,-132.04,216.81,-2.49,,,,
1980,-1503,-172.76,-131.66,217.21,-2.49,,,,
1981,-1146,-173.07,-131,217.06,-2.49,,,,
1982,-784,-172.96,-130.42,216.62,-2.5,,,,
1983,-569,-172.64,-130.05,216.15,-2.5,,,,
1984,-582,-172.19,-129.86,215.66,-2.5,,,,
1985,-814,-171.59,-129.93,215.24,-2.49,,,,
1986,-1170,-171.05,-130.45,215.12,-2.49,,,,
1987,-1530,-170.94,-131.33,215.57,-2.49,,,,
1988,-1729,-171.48,-132.12,216.47,-2.49,,,,
1989,-1722,-172.4,-132.37,217.36,-2.49,,,,
1990,-1499,-173.18,-132,217.75,-2.49,,,,
1991,-1145,-173.5,-131.34,217.6,-2.49,,,,
1992,-783,-173.39,-130.76,217.17,-2.5,,,,
1993,-567,-173.07,-130.39,216.69,-2.5,,,,
1994,-582,-172.61,-130.2,216.21,-2.5,,,,
1995,-816,-172.02,-130.27,215.78,-2.49,,,,
1996,-1174,-171.48,-130.79,215.66,-2.49,,,,
1997,-1531,-171.37,-131.67,216.11,-2.49,,,,
1998,-1729,-171.9,-132.46,217.02,-2.49,,,,
1999,-1725,-172.82,-132.71,217.9,-2.49,,,,
2000,-1502,-173.61,-132.34,218.3,-2.49,,,,
2001,-1146,-173.92,-131.67,218.15,-2.49,,,,
2002,-783,-173.82,-131.1,217.71,-2.5,,,,
2003,-568,-173.5,-130.73,217.23,-2.5,,,,
2004,-583,-173.04,-130.53,216.75,-2.5,,,,
2005,-813,-172.45,-130.61,216.32,-2.49,,,,
2006,-1169,-171.91,-131.12,216.2,-2.49,,,,
2007,-1530,-171.8,-132,216.65,-2.49,,,,
2008,-1728,-172.33,-132.79,217.56,-2.49,,,,
2009,-1724,-173.25,-133.05,218.44,-2.49,,,,
2010,-1500,-174.04,-132.67,218.84,-2.49,,,,
2011,-1146,-174.35,-132.01,218.69,-2.49,,,,
2012,-785,-174.24,-131.43,218.25,-2.5,,,,
2013,-569,-173.92,-131.06,217.77,-2.5,,,,
2014,-581,-173.46,-130.86,217.29,-2.5,,,,
2015,-813,-172.87,-130.94,216.86,-2.49,,,,
2016,-1171,-172.33,-131.45,216.74,-2.49,,,,
2017,-1530,-172.22,-132.33,217.19,-2.49,,,,
2018,-1729,-172.75,-133.12,218.09,-2.49,,,,
2019,-1724,-173.67,-133.38,218.98,-2.49,,,,
2020,-1501,-174.46,-133,219.38,-2.49,,,,
2021,-1144,-174.77,-132.34,219.22,-2.49,,,,
2022,-783,-174.66,-131.76,218.79,-2.5,,,,
2023,-568,-174.34,-131.39,218.31,-2.5,,,,
2024,-580,-173.89,-131.19,217.83,-2.5,,,,
2025,-814,-173.29,-131.27,217.4,-2.49,,,,
2026,-1170,-172.75,-131.78,217.28,-2.49,,,,
2027,-1529,-172.64,-132.66,217.73,-2.49,,,,
2028,-1732,-173.17,-133.46,218.63,-2.49,,,,
2029,-1724,-174.1,-133.71,219.51,-2.49,,,,
2030,-1499,-174.88,-133.33,219.91,-2.49,,,,
2031,-1144,-175.19,-132.67,219.76,-2.49,,,,
2032,-784,-175.08,-132.09,219.32,-2.5,,,,
2033,-568,-174.76,-131.72,218.84,-2.5,,,,
2034,-581,-174.31,-131.52,218.36,-2.5,,,,
2035,-812,-173.71,-131.6,217.93,-2.49,,,,
2036,-1172,-173.17,-132.11,217.81,-2.49,,,,
2037,-1530,-173.06,-132.99,218.26,-2.49,,,,
2038,-1729,-173.59,-133.79,219.16,-2.48,,,,
2039,-1722,-174.51,-134.04,220.04,-2.49,,,,
2040,-1498,-175.3,-133.66,220.44,-2.49,,,,
2041,-1146,-175.61,-132.99,220.29,-2.49,,,,
2042,-783,-175.5,-132.42,219.85,-2.5,,,,
2043,-565,-175.18,-132.05,219.37,-2.5,,,,
2044,-582,-174.72,-131.85,218.89,-2.5,,,,
2045,-813,-174.13,-131.93,218.46,-2.49,,,,
2046,-1170,-173.59,-132.44,218.34,-2.49,,,,
2047,-1530,-173.48,-133.32,218.79,-2.49,,,,
2048,-1728,-174.01,-134.11,219.69,-2.48,,,,
2049,-1725,-174.93,-134.36,220.57,-2.49,,,,
2050,-1500,-175.71,-133.99,220.97,-2.49,,,,
2051,-1144,-176.03,-133.32,220.82,-2.49,,,,
2052,-783,-175.91,-132.75,220.38,-2.5,,,,
2053,-568,-175.59,-132.37,219.9,-2.5,,,,
2054,-580,-175.14,-132.18,219.42,-2.5,,,,
2055,-814,-174.54,-132.25,218.99,-2.49,,,,
2056,-1170,-174,-132.76,218.87,-2.49,,,,
2057,-1530,-173.89,-133.64,219.31,-2.49,,,,
2058,-1729,-174.42,-134.44,220.22,-2.48,,,,
2059,-1722,-175.34,-134.69,221.1,-2.49,,,,
2060,-1498,-176.12,-134.31,221.49,-2.49,,,,
2061,-1144,-176.44,-133.65,221.34,-2.49,,,,
2062,-783,-176.32,-133.07,220.9,-2.5,,,,
2063,-569,-176,-132.7,220.42,-2.5,,,,
2064,-581,-175.55,-132.5,219.94,-2.5,,,,
2065,-815,-174.95,-132.58,219.51,-2.49,,,,
2066,-1171,-174.41,-133.09,219.39,-2.49,,,,
2067,-1528,-174.3,-133.96,219.83,-2.49,,,,
2068,-1731,-174.83,-134.76,220.74,-2.48,,,,
2069,-1723,-175.75,-135.01,221.62,-2.49,,,,
2070,-1499,-176.53,-134.63,222.01,-2.49,,,,
2071,-1144,-176.84,-133.97,221.86,-2.49,,,,
2072,-783,-176.73,-133.39,221.42,-2.5,,,,
2073,-569,-176.41,-133.02,220.94,-2.5,,,,
2074,-580,-175.95,-132.82,220.46,-2.49,,,,
2075,-812,-175.36,-132.9,220.03,-2.49,,,,
2076,-1171,-174.82,-133.41,219.9,-2.49,,,,
2077,-1531,-174.71,-134.29,220.35,-2.49,,,,
2078,-1730,-175.23,-135.08,221.26,-2.48,,,,
2079,-1723,-176.15,-135.33,222.14,-2.49,,,,
2080,-1498,-176.94,-134.95,222.53,-2.49,,,,
2081,-1146,-177.25,-134.29,222.37,-2.49,,,,
2082,-783,-177.14,-133.71,221.94,-2.5,,,,
2083,-568,-176.82,-133.34,221.46,-2.5,,,,
2084,-582,-176.36,-133.14,220.97,-2.49,,,,
2085,-814,-175.76,-133.22,220.54,-2.49,,,,
2086,-1172,-175.22,-133.73,220.42,-2.49,,,,
2087,-1531,-175.11,-134.61,220.87,-2.49,,,,
2088,-1727,-175.64,-135.4,221.77,-2.48,,,,
2089,-1724,-176.56,-135.65,222.65,-2.49,,,,
2090,-1500,-177.34,-135.27,223.04,-2.49,,,,
2091,-1144,-177.65,-134.61,222.89,-2.49,,,,
2092,-784,-177.54,-134.03,222.45,-2.49,,,,
2093,-569,-177.22,-133.66,221.97,-2.5,,,,
2094,-582,-176.76,-133.46,221.48,-2.49,,,,
2095,-814,-176.16,-133.53,221.05,-2.49,,,,
2096,-1170,-175.62,-134.04,220.93,-2.49,,,,
2097,-1531,-175.51,-134.92,221.38,-2.49,,,,
2098,-1730,-176.04,-135.71,222.28,-2.48,,,,
2099,-1722,-176.96,-135.96,223.16,-2.49,,,,
2100,-1499,-177.74,-135.59,223.55,-2.49,,,,
2101,-1145,-178.05,-134.92,223.4,-2.49,,,,
2102,-784,-177.94,-134.34,222.96,-2.49,,,,
2103,-568,-177.62,-133.97,222.48,-2.5,,,,
2104,-581,-177.16,-133.77,221.99,-2.49,,,,
2105,-814,-176.56,-133.85,221.56,-2.49,,,,
2106,-1171,-176.02,-134.36,221.44,-2.49,,,,
2107,-1530,-175.91,-135.23,221.88,-2.49,,,,
2108,-1729,-176.44,-136.03,222.79,-2.48,,,,
2109,-1723,-177.35,-136.28,223.67,-2.49,,,,
2110,-1500,-178.14,-135.9,224.06,-2.49,,,,
2111,-1145,-178.45,-135.23,223.9,-2.49,,,,
2112,-781,-178.34,-134.66,223.47,-2.49,,,,
2113,-568,-178.02,-134.28,222.98,-2.5,,,,
2114,-582,-177.56,-134.09,222.5,-2.49,,,,
