Samp,Signal,I,Q,R,Phi
0,289,0.95,0.61,1.13,0.57
1,-89,0.92,0.65,1.13,0.62
2,-466,0.92,0.94,1.32,0.8
3,-809,1.22,1.35,1.82,0.84
4,-1065,1.85,1.56,2.42,0.7
5,-1191,2.56,1.33,2.89,0.48
6,-1186,3,0.73,3.09,0.24
7,-1083,3,0.04,3,0.01
8,-947,2.65,-0.44,2.68,-0.16
9,-851,2.14,-0.6,2.22,-0.27
10,-838,1.63,-0.44,1.69,-0.26
11,-904,1.3,0.02,1.3,0.02
12,-1077,1.3,0.7,1.47,0.49
13,-1265,1.76,1.34,2.22,0.65
14,-1393,2.6,1.61,3.05,0.56
15,-1435,3.45,1.33,3.7,0.37
16,-1367,3.95,0.63,4,0.16
17,-1219,3.95,-0.13,3.95,-0.03
18,-1045,3.56,-0.66,3.62,-0.18
19,-905,3.02,-0.84,3.13,-0.27
20,-891,2.49,-0.66,2.57,-0.26
21,-954,2.13,-0.18,2.14,-0.08
22,-1114,2.13,0.52,2.19,0.24
23,-1292,2.61,1.18,2.86,0.42
24,-1411,3.45,1.45,3.74,0.4
25,-1449,4.31,1.17,4.47,0.26
26,-1378,4.82,0.47,4.84,0.1
27,-1221,4.81,-0.3,4.82,-0.06
28,-1044,4.43,-0.83,4.5,-0.19
29,-903,3.88,-1.01,4.01,-0.25
30,-878,3.36,-0.83,3.46,-0.24
31,-944,3.01,-0.35,3.03,-0.12
32,-1105,3,0.34,3.02,0.11
33,-1289,3.48,0.99,3.62,0.28
34,-1411,4.32,1.27,4.5,0.29
35,-1449,5.18,0.99,5.27,0.19
36,-1377,5.69,0.29,5.69,0.05
37,-1221,5.68,-0.48,5.7,-0.08
38,-1044,5.29,-1.01,5.39,-0.19
39,-902,4.75,-1.19,4.9,-0.24
40,-875,4.23,-1.02,4.35,-0.24
41,-944,3.87,-0.54,3.91,-0.14
42,-1107,3.87,0.16,3.88,0.04
43,-1288,4.35,0.81,4.42,0.19
44,-1411,5.19,1.09,5.3,0.21
45,-1449,6.05,0.81,6.1,0.13
46,-1379,6.55,0.11,6.55,0.02
47,-1222,6.55,-0.66,6.58,-0.1
48,-1043,6.16,-1.19,6.27,-0.19
49,-904,5.62,-1.37,5.78,-0.24
50,-876,5.09,-1.2,5.23,-0.23
51,-944,4.74,-0.72,4.79,-0.15
52,-1105,4.73,-0.02,4.73,0
53,-1287,5.21,0.63,5.25,0.12
54,-1411,6.05,0.91,6.11,0.15
55,-1449,6.91,0.62,6.94,0.09
56,-1376,7.41,-0.08,7.41,-0.01
57,-1222,7.41,-0.84,7.46,-0.11
58,-1045,7.02,-1.37,7.15,-0.19
59,-902,6.47,-1.55,6.66,-0.23
60,-877,5.95,-1.38,6.1,-0.23
61,-945,5.59,-0.89,5.66,-0.16
62,-1109,5.59,-0.2,5.59,-0.04
63,-1289,6.06,0.46,6.08,0.08
64,-1411,6.9,0.73,6.94,0.11
65,-1450,7.76,0.45,7.78,0.06
66,-1377,8.27,-0.25,8.27,-0.03
67,-1222,8.26,-1.02,8.32,-0.12
68,-1045,7.87,-1.55,8.02,-0.19
69,-903,7.33,-1.72,7.53,-0.23
70,-877,6.8,-1.55,6.97,-0.22
71,-944,6.44,-1.07,6.53,-0.16
72,-1107,6.44,-0.38,6.45,-0.06
73,-1289,6.91,0.28,6.92,0.04
74,-1410,7.75,0.55,7.77,0.07
75,-1450,8.61,0.27,8.62,0.03
76,-1377,9.11,-0.43,9.12,-0.05
77,-1222,9.11,-1.2,9.19,-0.13
78,-1046,8.72,-1.73,8.89,-0.2
79,-904,8.17,-1.9,8.39,-0.23
80,-877,7.64,-1.73,7.84,-0.22
81,-945,7.29,-1.25,7.39,-0.17
82,-1107,7.28,-0.55,7.3,-0.08
83,-1288,7.76,0.1,7.76,0.01
84,-1410,8.59,0.38,8.6,0.04
85,-1449,9.45,0.1,9.45,0.01
86,-1379,9.96,-0.61,9.97,-0.06
87,-1222,9.95,-1.37,10.04,-0.14
88,-1043,9.56,-1.9,9.75,-0.2
89,-903,9.01,-2.08,9.25,-0.23
90,-876,8.48,-1.9,8.7,-0.22
91,-945,8.13,-1.42,8.25,-0.17
92,-1108,8.12,-0.73,8.16,-0.09
93,-1288,8.59,-0.07,8.6,-0.01
94,-1411,9.43,0.2,9.43,0.02
95,-1450,10.29,-0.08,10.29,-0.01
96,-1378,10.8,-0.78,10.82,-0.07
97,-1223,10.79,-1.55,10.9,-0.14
98,-1046,10.4,-2.08,10.6,-0.2
99,-904,9.85,-2.25,10.1,-0.22
100,-878,9.32,-2.08,9.55,-0.22
101,-943,8.96,-1.6,9.11,-0.18
102,-1110,8.96,-0.9,9,-0.1
103,-1289,9.43,-0.25,9.43,-0.03
104,-1410,10.27,0.03,10.27,0
105,-1449,11.12,-0.25,11.13,-0.02
106,-1378,11.63,-0.95,11.66,-0.08
107,-1223,11.62,-1.72,11.75,-0.15
108,-1046,11.23,-2.25,11.45,-0.2
109,-902,10.68,-2.42,10.95,-0.22
110,-878,10.15,-2.25,10.4,-0.22
111,-944,9.79,-1.77,9.95,-0.18
112,-1109,9.79,-1.07,9.85,-0.11
113,-1290,10.26,-0.42,10.27,-0.04
114,-1410,11.09,-0.14,11.09,-0.01
115,-1450,11.95,-0.43,11.96,-0.04
116,-1378,12.45,-1.13,12.5,-0.09
117,-1222,12.45,-1.89,12.59,-0.15
118,-1045,12.05,-2.42,12.29,-0.2
119,-903,11.51,-2.6,11.79,-0.22
120,-876,10.97,-2.42,11.24,-0.22
121,-945,10.62,-1.94,10.79,-0.18
122,-1107,10.61,-1.25,10.68,-0.12
123,-1289,11.08,-0.59,11.1,-0.05
124,-1412,11.92,-0.32,11.92,-0.03
125,-1450,12.78,-0.6,12.79,-0.05
126,-1378,13.28,-1.3,13.34,-0.1
127,-1224,13.27,-2.06,13.43,-0.15
128,-1046,12.87,-2.59,13.13,-0.2
129,-905,12.33,-2.77,12.63,-0.22
130,-878,11.79,-2.6,12.08,-0.22
131,-947,11.44,-2.11,11.63,-0.18
132,-1108,11.43,-1.42,11.52,-0.12
133,-1288,11.9,-0.76,11.92,-0.06
134,-1411,12.73,-0.49,12.74,-0.04
135,-1449,13.59,-0.77,13.61,-0.06
136,-1378,14.09,-1.47,14.17,-0.1
137,-1222,14.08,-2.23,14.26,-0.16
138,-1044,13.69,-2.76,13.96,-0.2
139,-903,13.14,-2.94,13.46,-0.22
140,-877,12.61,-2.76,12.91,-0.22
141,-945,12.25,-2.28,12.46,-0.18
142,-1109,12.24,-1.58,12.35,-0.13
143,-1290,12.71,-0.93,12.75,-0.07
144,-1410,13.55,-0.65,13.56,-0.05
145,-1450,14.4,-0.93,14.43,-0.06
146,-1378,14.9,-1.63,14.99,-0.11
147,-1222,14.89,-2.4,15.09,-0.16
148,-1045,14.5,-2.93,14.79,-0.2
149,-902,13.95,-3.1,14.29,-0.22
150,-878,13.42,-2.93,13.73,-0.22
151,-945,13.06,-2.45,13.29,-0.19
152,-1108,13.05,-1.75,13.17,-0.13
153,-1288,13.52,-1.1,13.56,-0.08
154,-1411,14.35,-0.82,14.38,-0.06
155,-1450,15.21,-1.1,15.25,-0.07
156,-1379,15.71,-1.8,15.81,-0.11
157,-1221,15.7,-2.57,15.91,-0.16
158,-1045,15.31,-3.1,15.62,-0.2
159,-904,14.76,-3.27,15.11,-0.22
160,-878,14.22,-3.1,14.56,-0.21
161,-945,13.86,-2.62,14.11,-0.19
162,-1107,13.86,-1.92,13.99,-0.14
163,-1289,14.32,-1.26,14.38,-0.09
164,-1411,15.16,-0.99,15.19,-0.07
165,-1449,16.01,-1.27,16.06,-0.08
166,-1379,16.51,-1.97,16.63,-0.12
167,-1222,16.5,-2.74,16.73,-0.16
168,-1045,16.1,-3.27,16.43,-0.2
169,-903,15.56,-3.44,15.93,-0.22
170,-876,15.02,-3.27,15.37,-0.21
171,-946,14.66,-2.78,14.93,-0.19
172,-1109,14.65,-2.09,14.8,-0.14
173,-1288,15.12,-1.43,15.19,-0.09
174,-1409,15.95,-1.16,15.99,-0.07
175,-1449,16.81,-1.44,16.87,-0.09
176,-1377,17.31,-2.13,17.44,-0.12
177,-1223,17.3,-2.9,17.54,-0.17
178,-1044,16.9,-3.43,17.24,-0.2
179,-903,16.35,-3.6,16.74,-0.22
180,-879,15.81,-3.43,16.18,-0.21
181,-945,15.45,-2.95,15.73,-0.19
182,-1109,15.45,-2.25,15.61,-0.14
183,-1290,15.91,-1.59,15.99,-0.1
184,-1410,16.74,-1.32,16.8,-0.08
185,-1451,17.6,-1.6,17.67,-0.09
186,-1377,18.1,-2.3,18.24,-0.13
187,-1221,18.09,-3.06,18.34,-0.17
188,-1042,17.69,-3.59,18.05,-0.2
189,-905,17.14,-3.76,17.55,-0.22
190,-874,16.61,-3.59,16.99,-0.21
191,-947,16.25,-3.11,16.54,-0.19
192,-1103,16.24,-2.41,16.41,-0.15
193,-1290,16.7,-1.76,16.79,-0.1
194,-1404,17.53,-1.48,17.59,-0.08
195,-1453,18.39,-1.76,18.47,-0.1
196,-1382,18.89,-2.47,19.05,-0.13
197,-1224,18.87,-3.23,19.15,-0.17
198,-1040,18.48,-3.76,18.86,-0.2
199,-906,17.92,-3.93,18.35,-0.22
200,-871,17.39,-3.76,17.8,-0.21
201,-948,17.03,-3.28,17.34,-0.19
202,-1105,17.02,-2.58,17.22,-0.15
203,-1291,17.49,-1.92,17.59,-0.11
204,-1412,18.32,-1.65,18.39,-0.09
205,-1452,19.18,-1.93,19.27,-0.1
206,-1380,19.67,-2.63,19.85,-0.13
207,-1223,19.66,-3.4,19.95,-0.17
208,-1047,19.26,-3.92,19.66,-0.2
209,-906,18.71,-4.1,19.15,-0.22
210,-876,18.17,-3.93,18.59,-0.21
211,-944,17.81,-3.44,18.14,-0.19
