Samp,Signal,I,Q,R,Phi
212,-1109,17.8,-2.74,18.01,-0.15
213,-1289,18.27,-2.09,18.39,-0.11
214,-1412,19.1,-1.81,19.19,-0.09
215,-1450,19.95,-2.09,20.06,-0.1
216,-1378,20.45,-2.79,20.64,-0.14
217,-1222,20.44,-3.56,20.74,-0.17
218,-1043,20.04,-4.09,20.45,-0.2
219,-902,19.49,-4.26,19.95,-0.22
220,-877,18.95,-4.09,19.39,-0.21
221,-945,18.59,-3.6,18.94,-0.19
222,-1109,18.58,-2.9,18.8,-0.16
223,-1288,19.04,-2.25,19.17,-0.12
224,-1410,19.87,-1.97,19.97,-0.1
225,-1451,20.73,-2.25,20.85,-0.11
226,-1377,21.22,-2.95,21.43,-0.14
227,-1221,21.21,-3.72,21.53,-0.17
228,-1046,20.81,-4.25,21.24,-0.2
229,-903,20.26,-4.42,20.73,-0.21
230,-878,19.72,-4.24,20.17,-0.21
231,-945,19.36,-3.76,19.72,-0.19
232,-1108,19.35,-3.06,19.59,-0.16
233,-1290,19.81,-2.41,19.96,-0.12
234,-1410,20.64,-2.13,20.75,-0.1
235,-1448,21.49,-2.41,21.63,-0.11
236,-1378,21.99,-3.11,22.21,-0.14
237,-1223,21.97,-3.88,22.31,-0.17
238,-1045,21.57,-4.4,22.02,-0.2
239,-903,21.02,-4.58,21.51,-0.21
240,-878,20.48,-4.4,20.95,-0.21
241,-946,20.12,-3.92,20.5,-0.19
242,-1107,20.11,-3.22,20.37,-0.16
243,-1290,20.57,-2.56,20.73,-0.12
244,-1412,21.4,-2.29,21.53,-0.11
245,-1451,22.26,-2.57,22.4,-0.11
246,-1379,22.75,-3.27,22.99,-0.14
247,-1223,22.74,-4.03,23.09,-0.18
248,-1045,22.34,-4.56,22.8,-0.2
249,-905,21.78,-4.74,22.29,-0.21
250,-878,21.24,-4.56,21.73,-0.21
251,-945,20.88,-4.08,21.28,-0.19
252,-1109,20.87,-3.38,21.14,-0.16
253,-1289,21.33,-2.72,21.51,-0.13
254,-1412,22.16,-2.45,22.3,-0.11
255,-1449,23.01,-2.73,23.17,-0.12
256,-1378,23.51,-3.43,23.76,-0.14
257,-1224,23.49,-4.19,23.86,-0.18
258,-1045,23.09,-4.72,23.57,-0.2
259,-903,22.54,-4.89,23.06,-0.21
260,-879,22,-4.72,22.5,-0.21
261,-947,21.64,-4.23,22.05,-0.19
262,-1110,21.62,-3.53,21.91,-0.16
263,-1289,22.08,-2.88,22.27,-0.13
264,-1411,22.91,-2.6,23.06,-0.11
265,-1451,23.77,-2.88,23.94,-0.12
266,-1378,24.26,-3.58,24.52,-0.15
267,-1223,24.24,-4.35,24.63,-0.18
268,-1045,23.84,-4.87,24.34,-0.2
269,-904,23.29,-5.05,23.83,-0.21
270,-878,22.75,-4.87,23.27,-0.21
271,-945,22.39,-4.39,22.81,-0.19
272,-1109,22.37,-3.69,22.67,-0.16
273,-1290,22.83,-3.03,23.04,-0.13
274,-1410,23.66,-2.76,23.82,-0.12
275,-1448,24.51,-3.04,24.7,-0.12
276,-1379,25.01,-3.74,25.28,-0.15
277,-1221,24.99,-4.5,25.39,-0.18
278,-1047,24.59,-5.03,25.1,-0.2
279,-903,24.03,-5.2,24.59,-0.21
280,-877,23.49,-5.03,24.03,-0.21
281,-947,23.13,-4.54,23.57,-0.19
282,-1109,23.12,-3.84,23.43,-0.16
283,-1288,23.58,-3.19,23.79,-0.13
284,-1411,24.4,-2.91,24.58,-0.12
285,-1450,25.26,-3.19,25.46,-0.13
286,-1379,25.75,-3.89,26.04,-0.15
287,-1222,25.73,-4.65,26.15,-0.18
288,-1043,25.33,-5.18,25.86,-0.2
289,-904,24.78,-5.35,25.35,-0.21
290,-878,24.24,-5.18,24.78,-0.21
291,-944,23.87,-4.7,24.33,-0.19
292,-1108,23.86,-4,24.19,-0.17
293,-1288,24.32,-3.34,24.55,-0.14
294,-1412,25.15,-3.07,25.33,-0.12
295,-1449,26,-3.34,26.21,-0.13
296,-1378,26.49,-4.04,26.79,-0.15
297,-1223,26.47,-4.81,26.9,-0.18
298,-1046,26.07,-5.34,26.61,-0.2
299,-904,25.51,-5.51,26.1,-0.21
300,-878,24.97,-5.34,25.54,-0.21
301,-945,24.61,-4.85,25.08,-0.19
302,-1109,24.59,-4.15,24.94,-0.17
303,-1289,25.05,-3.49,25.29,-0.14
304,-1410,25.88,-3.22,26.08,-0.12
305,-1448,26.73,-3.5,26.96,-0.13
306,-1378,27.22,-4.2,27.54,-0.15
307,-1221,27.2,-4.96,27.65,-0.18
308,-1044,26.8,-5.49,27.36,-0.2
309,-903,26.24,-5.66,26.85,-0.21
310,-878,25.7,-5.49,26.28,-0.21
311,-946,25.34,-5,25.83,-0.19
312,-1109,25.32,-4.3,25.68,-0.17
313,-1291,25.78,-3.64,26.04,-0.14
314,-1411,26.61,-3.37,26.82,-0.13
315,-1450,27.46,-3.65,27.7,-0.13
316,-1379,27.95,-4.34,28.29,-0.15
317,-1222,27.93,-5.11,28.4,-0.18
318,-1045,27.53,-5.64,28.1,-0.2
319,-902,26.97,-5.81,27.59,-0.21
320,-877,26.43,-5.63,27.03,-0.21
321,-945,26.07,-5.15,26.57,-0.2
322,-1107,26.05,-4.45,26.43,-0.17
323,-1287,26.51,-3.8,26.78,-0.14
324,-1410,27.33,-3.52,27.56,-0.13
325,-1450,28.18,-3.8,28.44,-0.13
326,-1379,28.67,-4.5,29.03,-0.16
327,-1223,28.66,-5.26,29.14,-0.18
328,-1044,28.25,-5.79,28.84,-0.2
329,-904,27.7,-5.96,28.33,-0.21
330,-878,27.15,-5.79,27.76,-0.21
331,-934,26.79,-5.31,27.31,-0.2
332,-1223,26.78,-4.54,27.16,-0.17
333,-1380,27.27,-3.83,27.54,-0.14
334,-1482,28.14,-3.54,28.36,-0.13
335,-1508,29.02,-3.83,29.27,-0.13
336,-1432,29.53,-4.56,29.88,-0.15
337,-1280,29.51,-5.36,29.99,-0.18
338,-1089,29.09,-5.91,29.68,-0.2
339,-940,28.51,-6.09,29.15,-0.21
340,-844,27.99,-5.92,28.61,-0.21
341,-922,27.63,-5.45,28.16,-0.19
342,-1094,27.61,-4.76,28.02,-0.17
343,-1279,28.07,-4.11,28.37,-0.15
344,-1402,28.89,-3.83,29.14,-0.13
345,-1445,29.73,-4.11,30.02,-0.14
346,-1375,30.22,-4.8,30.6,-0.16
347,-1219,30.2,-5.57,30.71,-0.18
348,-1043,29.8,-6.09,30.42,-0.2
349,-903,29.24,-6.27,29.9,-0.21
350,-877,28.7,-6.09,29.34,-0.21
351,-945,28.33,-5.61,28.88,-0.2
352,-1107,28.31,-4.91,28.74,-0.17
353,-1289,28.77,-4.25,29.08,-0.15
354,-1410,29.6,-3.97,29.86,-0.13
355,-1450,30.44,-4.25,30.74,-0.14
356,-1379,30.93,-4.95,31.33,-0.16
357,-1221,30.91,-5.71,31.44,-0.18
358,-1045,30.51,-6.24,31.14,-0.2
359,-904,29.95,-6.41,30.63,-0.21
360,-878,29.41,-6.24,30.06,-0.21
361,-946,29.04,-5.75,29.6,-0.2
362,-1108,29.02,-5.06,29.46,-0.17
363,-1290,29.48,-4.4,29.8,-0.15
364,-1410,30.3,-4.12,30.58,-0.14
365,-1449,31.15,-4.4,31.46,-0.14
366,-1380,31.64,-5.1,32.05,-0.16
367,-1222,31.62,-5.86,32.16,-0.18
368,-1044,31.21,-6.39,31.86,-0.2
369,-903,30.65,-6.56,31.35,-0.21
370,-877,30.11,-6.39,30.78,-0.21
371,-945,29.74,-5.9,30.32,-0.2
372,-1109,29.73,-5.2,30.18,-0.17
373,-1289,30.18,-4.54,30.52,-0.15
374,-1411,31.01,-4.27,31.3,-0.14
375,-1450,31.85,-4.54,32.18,-0.14
376,-1378,32.34,-5.24,32.76,-0.16
377,-1221,32.32,-6.01,32.87,-0.18
378,-1047,31.91,-6.53,32.58,-0.2
379,-904,31.35,-6.71,32.06,-0.21
380,-877,30.81,-6.53,31.5,-0.21
381,-944,30.44,-6.05,31.04,-0.2
382,-1107,30.42,-5.35,30.89,-0.17
383,-1289,30.88,-4.69,31.23,-0.15
384,-1411,31.7,-4.41,32.01,-0.14
385,-1450,32.55,-4.69,32.89,-0.14
386,-1377,33.04,-5.39,33.47,-0.16
387,-1222,33.02,-6.15,33.59,-0.18
388,-1044,32.61,-6.68,33.29,-0.2
389,-902,32.05,-6.85,32.78,-0.21
390,-878,31.51,-6.68,32.21,-0.21
391,-945,31.14,-6.19,31.75,-0.2
392,-1108,31.12,-5.49,31.6,-0.17
393,-1289,31.58,-4.83,31.94,-0.15
394,-1412,32.4,-4.56,32.72,-0.14
395,-1451,33.25,-4.83,33.6,-0.14
396,-1379,33.73,-5.53,34.18,-0.16
397,-1223,33.71,-6.3,34.3,-0.18
398,-1045,33.31,-6.82,34,-0.2
399,-903,32.75,-6.99,33.48,-0.21
400,-877,32.2,-6.82,32.92,-0.21
401,-946,31.83,-6.33,32.46,-0.2
402,-1108,31.81,-5.63,32.31,-0.18
403,-1291,32.27,-4.98,32.65,-0.15
404,-1411,33.09,-4.7,33.42,-0.14
405,-1449,33.94,-4.98,34.3,-0.15
406,-1378,34.42,-5.67,34.89,-0.16
407,-1222,34.4,-6.44,35,-0.18
408,-1045,33.99,-6.96,34.7,-0.2
409,-902,33.43,-7.14,34.19,-0.21
410,-877,32.89,-6.96,33.62,-0.21
411,-946,32.52,-6.48,33.16,-0.2
412,-1108,32.5,-5.78,33.01,-0.18
413,-1289,32.95,-5.12,33.35,-0.15
414,-1412,33.78,-4.84,34.12,-0.14
415,-1451,34.62,-5.12,35,-0.15
416,-1379,35.11,-5.82,35.59,-0.16
417,-1223,35.09,-6.58,35.7,-0.19
418,-1045,34.68,-7.11,35.4,-0.2
419,-904,34.12,-7.28,34.89,-0.21
420,-879,33.57,-7.1,34.31,-0.21
421,-945,33.2,-6.62,33.85,-0.2
422,-1108,33.18,-5.92,33.7,-0.18
423,-1290,33.64,-5.26,34.04,-0.16
424,-1413,34.46,-4.98,34.82,-0.14
425,-1451,35.3,-5.26,35.69,-0.15
426,-1379,35.79,-5.96,36.28,-0.16
427,-1223,35.77,-6.72,36.39,-0.19
428,-1045,35.36,-7.25,36.1,-0.2
429,-903,34.8,-7.42,35.58,-0.21
430,-879,34.25,-7.24,35.01,-0.21
431,-947,33.88,-6.76,34.55,-0.2
432,-1109,33.86,-6.06,34.4,-0.18
433,-1291,34.31,-5.4,34.74,-0.16
434,-1410,35.14,-5.12,35.51,-0.14
435,-1451,35.98,-5.4,36.38,-0.15
436,-1379,36.47,-6.1,36.97,-0.17
437,-1223,36.44,-6.86,37.08,-0.19
438,-1045,36.04,-7.39,36.78,-0.2
439,-904,35.47,-7.56,36.27,-0.21
440,-877,34.93,-7.38,35.7,-0.21
441,-946,34.56,-6.9,35.24,-0.2
442,-1108,34.53,-6.2,35.09,-0.18
443,-1290,34.99,-5.54,35.42,-0.16
444,-1411,35.81,-5.26,36.19,-0.15
445,-1449,36.65,-5.54,37.07,-0.15
446,-1379,37.14,-6.24,37.66,-0.17
447,-1223,37.11,-7,37.77,-0.19
448,-1045,36.71,-7.53,37.47,-0.2
449,-905,36.14,-7.7,36.95,-0.21
450,-877,35.6,-7.52,36.38,-0.21
451,-945,35.22,-7.04,35.92,-0.2
452,-1109,35.2,-6.34,35.77,-0.18
453,-1288,35.66,-5.68,36.1,-0.16
454,-1411,36.48,-5.4,36.87,-0.15
455,-1451,37.32,-5.68,37.75,-0.15
456,-1379,37.81,-6.38,38.34,-0.17
457,-1224,37.78,-7.14,38.45,-0.19
458,-1045,37.37,-7.67,38.15,-0.2
459,-904,36.81,-7.84,37.63,-0.21
460,-879,36.26,-7.66,37.06,-0.21
461,-946,35.89,-7.18,36.6,-0.2
462,-1109,35.87,-6.48,36.45,-0.18
463,-1290,36.32,-5.82,36.78,-0.16
464,-1411,37.14,-5.54,37.55,-0.15
465,-1450,37.98,-5.82,38.43,-0.15
466,-1377,38.47,-6.51,39.01,-0.17
467,-1222,38.44,-7.28,39.13,-0.19
468,-1044,38.03,-7.8,38.83,-0.2
469,-903,37.47,-7.97,38.31,-0.21
470,-877,36.92,-7.8,37.74,-0.21
471,-944,36.55,-7.31,37.28,-0.2
472,-1107,36.53,-6.61,37.12,-0.18
473,-1290,36.98,-5.95,37.46,-0.16
474,-1410,37.8,-5.68,38.22,-0.15
475,-1449,38.64,-5.95,39.1,-0.15
476,-1379,39.13,-6.65,39.69,-0.17
477,-1221,39.1,-7.41,39.8,-0.19
478,-1044,38.69,-7.94,39.5,-0.2
479,-904,38.13,-8.11,38.98,-0.21
480,-878,37.58,-7.93,38.41,-0.21
481,-946,37.21,-7.45,37.95,-0.2
482,-1108,37.18,-6.75,37.79,-0.18
483,-1288,37.64,-6.09,38.13,-0.16
484,-1412,38.46,-5.81,38.89,-0.15
485,-1451,39.3,-6.09,39.77,-0.15
486,-1379,39.78,-6.79,40.36,-0.17
487,-1221,39.76,-7.55,40.47,-0.19
488,-1045,39.35,-8.08,40.17,-0.2
489,-904,38.78,-8.25,39.65,-0.21
490,-877,38.23,-8.07,39.08,-0.21
491,-945,37.86,-7.59,38.61,-0.2
492,-1109,37.84,-6.88,38.46,-0.18
493,-1290,38.29,-6.22,38.79,-0.16
494,-1412,39.11,-5.95,39.56,-0.15
495,-1450,39.95,-6.22,40.43,-0.15
496,-1379,40.43,-6.92,41.02,-0.17
497,-1224,40.41,-7.69,41.13,-0.19
498,-1045,40,-8.21,40.83,-0.2
499,-904,39.43,-8.38,40.31,-0.21
500,-877,38.88,-8.21,39.74,-0.21
501,-945,38.51,-7.72,39.28,-0.2
502,-1109,38.49,-7.02,39.12,-0.18
503,-1288,38.94,-6.36,39.45,-0.16
504,-1410,39.76,-6.08,40.22,-0.15
505,-1450,40.6,-6.36,41.09,-0.16
506,-1378,41.08,-7.06,41.68,-0.17
507,-1221,41.05,-7.82,41.79,-0.19
508,-1044,40.64,-8.34,41.49,-0.2
509,-904,40.08,-8.51,40.97,-0.21
510,-879,39.53,-8.34,40.4,-0.21
511,-946,39.15,-7.85,39.93,-0.2
512,-1108,39.13,-7.15,39.78,-0.18
513,-1291,39.58,-6.49,40.11,-0.16
514,-1411,40.4,-6.21,40.87,-0.15
515,-1450,41.24,-6.49,41.75,-0.16
516,-1379,41.72,-7.19,42.34,-0.17
517,-1222,41.7,-7.95,42.45,-0.19
518,-1044,41.29,-8.48,42.15,-0.2
519,-902,40.72,-8.65,41.63,-0.21
520,-876,40.17,-8.47,41.06,-0.21
521,-945,39.8,-7.99,40.59,-0.2
522,-1108,39.77,-7.28,40.43,-0.18
523,-1289,40.22,-6.62,40.77,-0.16
524,-1411,41.04,-6.35,41.53,-0.15
525,-1451,41.88,-6.62,42.4,-0.16
526,-1379,42.36,-7.32,42.99,-0.17
527,-1221,42.34,-8.08,43.1,-0.19
528,-1045,41.93,-8.61,42.8,-0.2
529,-905,41.36,-8.78,42.28,-0.21
530,-878,40.81,-8.6,41.71,-0.21
531,-946,40.43,-8.12,41.24,-0.2
532,-1109,40.41,-7.42,41.08,-0.18
533,-1291,40.86,-6.75,41.41,-0.16
534,-1411,41.68,-6.48,42.18,-0.15
535,-1449,42.52,-6.75,43.05,-0.16
536,-1379,43,-7.45,43.64,-0.17
537,-1222,42.97,-8.21,43.75,-0.19
538,-1045,42.56,-8.74,43.45,-0.2
539,-902,41.99,-8.91,42.93,-0.21
540,-878,41.44,-8.73,42.35,-0.21
541,-945,41.07,-8.25,41.89,-0.2
542,-1110,41.04,-7.54,41.73,-0.18
543,-1289,41.49,-6.88,42.06,-0.16
544,-1411,42.31,-6.61,42.82,-0.15
545,-1452,43.15,-6.88,43.7,-0.16
546,-1378,43.63,-7.58,44.28,-0.17
547,-1222,43.6,-8.34,44.39,-0.19
548,-1044,43.19,-8.87,44.09,-0.2
549,-902,42.62,-9.04,43.57,-0.21
550,-879,42.07,-8.86,43,-0.21
551,-946,41.7,-8.38,42.53,-0.2
552,-1108,41.67,-7.67,42.37,-0.18
553,-1291,42.12,-7.01,42.7,-0.16
554,-1411,42.94,-6.74,43.46,-0.16
555,-1450,43.78,-7.01,44.34,-0.16
556,-1378,44.26,-7.71,44.92,-0.17
557,-1221,44.23,-8.47,45.03,-0.19
558,-1046,43.82,-9,44.73,-0.2
559,-903,43.25,-9.17,44.21,-0.21
560,-878,42.7,-8.99,43.63,-0.21
561,-946,42.32,-8.5,43.17,-0.2
562,-1109,42.3,-7.8,43.01,-0.18
563,-1290,42.75,-7.14,43.34,-0.17
564,-1412,43.56,-6.86,44.1,-0.16
565,-1451,44.4,-7.14,44.97,-0.16
566,-1379,44.88,-7.84,45.56,-0.17
567,-1222,44.85,-8.6,45.67,-0.19
568,-1044,44.44,-9.12,45.37,-0.2
569,-904,43.87,-9.29,44.85,-0.21
570,-878,43.32,-9.12,44.27,-0.21
571,-946,42.94,-8.63,43.8,-0.2
572,-1109,42.92,-7.93,43.64,-0.18
573,-1290,43.37,-7.27,43.97,-0.17
574,-1413,44.18,-6.99,44.73,-0.16
575,-1449,45.02,-7.27,45.6,-0.16
576,-1376,45.5,-7.96,46.19,-0.17
577,-1222,45.47,-8.72,46.3,-0.19
578,-1045,45.06,-9.25,46,-0.2
579,-904,44.49,-9.42,45.48,-0.21
580,-877,43.94,-9.24,44.9,-0.21
581,-944,43.56,-8.76,44.43,-0.2
582,-1110,43.53,-8.05,44.27,-0.18
583,-1290,43.98,-7.39,44.6,-0.17
584,-1411,44.8,-7.12,45.36,-0.16
585,-1451,45.64,-7.39,46.23,-0.16
586,-1379,46.12,-8.09,46.82,-0.17
587,-1223,46.09,-8.85,46.93,-0.19
588,-1044,45.67,-9.38,46.63,-0.2
589,-903,45.11,-9.55,46.11,-0.21
590,-879,44.55,-9.37,45.53,-0.21
591,-947,44.18,-8.88,45.06,-0.2
592,-1109,44.15,-8.18,44.9,-0.18
593,-1290,44.6,-7.52,45.23,-0.17
