Samp,Signal,I,Q,R,Phi
149,-157,33.37,44.13,55.33,0.92
150,-777,32.88,44.26,55.13,0.93
151,-1515,32.3,45,55.39,0.95
152,-2116,32.28,46.3,56.44,0.96
153,-2343,33.13,47.46,57.88,0.96
154,-2116,34.37,47.84,58.91,0.95
155,-1515,35.25,47.52,59.17,0.93
156,-745,35.51,47.11,58.99,0.92
157,-135,35.48,46.99,58.89,0.92
158,30,35.47,46.98,58.87,0.92
159,-156,35.36,46.92,58.75,0.93
160,-776,34.87,47.04,58.56,0.93
161,-1514,34.29,47.78,58.81,0.95
162,-2118,34.27,49.08,59.86,0.96
163,-2343,35.11,50.24,61.29,0.96
164,-2116,36.35,50.62,62.32,0.95
165,-1516,37.24,50.29,62.58,0.93
166,-746,37.49,49.88,62.4,0.93
167,-133,37.47,49.77,62.29,0.93
168,31,37.45,49.75,62.27,0.93
169,-157,37.34,49.69,62.16,0.93
170,-779,36.85,49.81,61.96,0.93
171,-1514,36.27,50.55,62.21,0.95
172,-2116,36.24,51.85,63.26,0.96
173,-2345,37.09,53.01,64.69,0.96
174,-2115,38.33,53.38,65.72,0.95
175,-1515,39.21,53.06,65.97,0.93
176,-746,39.46,52.64,65.79,0.93
177,-134,39.43,52.53,65.68,0.93
178,29,39.42,52.51,65.66,0.93
179,-157,39.3,52.44,65.54,0.93
180,-777,38.81,52.56,65.34,0.93
181,-1515,38.23,53.3,65.59,0.95
182,-2118,38.2,54.6,66.64,0.96
183,-2345,39.05,55.75,68.07,0.96
184,-2115,40.28,56.13,69.09,0.95
185,-1514,41.16,55.8,69.34,0.94
186,-747,41.41,55.38,69.16,0.93
187,-135,41.39,55.27,69.04,0.93
188,31,41.37,55.25,69.02,0.93
189,-158,41.25,55.18,68.9,0.93
190,-778,40.76,55.3,68.7,0.94
191,-1514,40.18,56.03,68.95,0.95
192,-2116,40.15,57.33,69.99,0.96
193,-2344,40.99,58.48,71.42,0.96
194,-2116,42.23,58.85,72.44,0.95
195,-1514,43.11,58.52,72.69,0.94
196,-746,43.36,58.11,72.5,0.93
197,-133,43.33,57.99,72.39,0.93
198,30,43.31,57.97,72.36,0.93
199,-159,43.19,57.9,72.23,0.93
200,-777,42.7,58.01,72.03,0.94
201,-1514,42.11,58.75,72.28,0.95
202,-2119,42.09,60.04,73.32,0.96
203,-2345,42.93,61.2,74.75,0.96
204,-2113,44.16,61.57,75.77,0.95
205,-1514,45.04,61.23,76.01,0.94
206,-745,45.29,60.82,75.83,0.93
207,-134,45.26,60.69,75.71,0.93
208,31,45.24,60.67,75.68,0.93
209,-157,45.12,60.6,75.55,0.93
210,-778,44.63,60.72,75.35,0.94
211,-1515,44.04,61.45,75.6,0.95
212,-2117,44.01,62.74,76.64,0.96
213,-2345,44.85,63.89,78.06,0.96
214,-2115,46.08,64.26,79.08,0.95
215,-1515,46.96,63.93,79.32,0.94
216,-746,47.21,63.51,79.13,0.93
217,-134,47.18,63.38,79.01,0.93
218,29,47.16,63.36,78.98,0.93
219,-158,47.03,63.29,78.85,0.93
220,-776,46.54,63.4,78.65,0.94
221,-1513,45.95,64.13,78.89,0.95
222,-2116,45.92,65.42,79.93,0.96
223,-2345,46.76,66.57,81.35,0.96
224,-2115,47.99,66.94,82.37,0.95
225,-1514,48.87,66.6,82.61,0.94
226,-746,49.11,66.18,82.41,0.93
227,-133,49.08,66.06,82.29,0.93
228,31,49.06,66.03,82.26,0.93
229,-158,48.94,65.96,82.13,0.93
230,-779,48.44,66.07,81.92,0.94
231,-1516,47.85,66.8,82.17,0.95
232,-2118,47.82,68.08,83.2,0.96
233,-2343,48.66,69.23,84.62,0.96
234,-2116,49.89,69.6,85.63,0.95
235,-1516,50.76,69.26,85.87,0.94
236,-747,51.01,68.84,85.68,0.93
237,-133,50.98,68.71,85.56,0.93
238,31,50.96,68.68,85.52,0.93
239,-158,50.83,68.61,85.39,0.93
240,-777,50.33,68.72,85.18,0.94
241,-1514,49.74,69.44,85.42,0.95
242,-2118,49.71,70.73,86.45,0.96
243,-2345,50.55,71.88,87.87,0.96
244,-2115,51.78,72.24,88.88,0.95
245,-1515,52.65,71.9,89.12,0.94
246,-745,52.89,71.48,88.92,0.93
247,-136,52.86,71.35,88.8,0.93
248,31,52.84,71.32,88.76,0.93
249,-156,52.71,71.25,88.62,0.93
250,-777,52.21,71.35,88.42,0.94
251,-1515,51.62,72.08,88.66,0.95
252,-2116,51.59,73.36,89.68,0.96
253,-2344,52.42,74.51,91.1,0.96
254,-2114,53.65,74.87,92.11,0.95
255,-1515,54.52,74.53,92.34,0.94
256,-745,54.76,74.1,92.14,0.93
257,-131,54.73,73.97,92.02,0.93
258,30,54.71,73.94,91.98,0.93
259,-157,54.58,73.87,91.84,0.93
260,-777,54.08,73.97,91.63,0.94
261,-1514,53.49,74.69,91.87,0.95
262,-2116,53.45,75.98,92.9,0.96
263,-2344,54.28,77.12,94.31,0.96
264,-2115,55.51,77.48,95.32,0.95
265,-1515,56.38,77.14,95.55,0.94
266,-746,56.62,76.71,95.35,0.93
267,-133,56.59,76.58,95.22,0.93
268,29,56.56,76.55,95.18,0.93
269,-158,56.43,76.47,95.04,0.94
270,-777,55.93,76.57,94.82,0.94
271,-1515,55.34,77.29,95.06,0.95
272,-2117,55.31,78.57,96.08,0.96
273,-2344,56.14,79.71,97.5,0.96
274,-2113,57.36,80.07,98.5,0.95
275,-1513,58.23,79.73,98.73,0.94
276,-747,58.47,79.3,98.53,0.94
277,-134,58.43,79.17,98.4,0.93
278,30,58.41,79.13,98.35,0.93
279,-159,58.28,79.05,98.21,0.94
280,-779,57.77,79.15,98,0.94
281,-1514,57.18,79.87,98.23,0.95
282,-2119,57.14,81.15,99.25,0.96
283,-2344,57.97,82.29,100.66,0.96
284,-2114,59.2,82.65,101.67,0.95
285,-1512,60.06,82.31,101.89,0.94
286,-745,60.3,81.88,101.69,0.94
287,-134,60.26,81.74,101.55,0.94
288,31,60.24,81.71,101.51,0.94
289,-156,60.11,81.62,101.37,0.94
290,-777,59.6,81.72,101.15,0.94
291,-1515,59.01,82.44,101.38,0.95
292,-2118,58.97,83.72,102.4,0.96
293,-2344,59.8,84.86,103.81,0.96
294,-2113,61.02,85.22,104.81,0.95
295,-1514,61.89,84.87,105.04,0.94
296,-746,62.13,84.44,104.83,0.94
297,-132,62.09,84.3,104.7,0.94
298,31,62.06,84.26,104.65,0.94
299,-158,61.93,84.18,104.5,0.94
300,-778,61.42,84.28,104.29,0.94
301,-1514,60.83,84.99,104.52,0.95
302,-2116,60.79,86.27,105.53,0.96
303,-2345,61.61,87.41,106.94,0.96
304,-2114,62.84,87.76,107.94,0.95
305,-1513,63.7,87.41,108.16,0.94
306,-746,63.94,86.98,107.95,0.94
307,-135,63.9,86.84,107.82,0.94
308,32,63.87,86.8,107.77,0.94
309,-158,63.74,86.72,107.62,0.94
310,-777,63.23,86.81,107.4,0.94
311,-1515,62.63,87.53,107.63,0.95
312,-2117,62.59,88.8,108.65,0.96
313,-2343,63.42,89.94,110.05,0.96
314,-2114,64.64,90.29,111.05,0.95
315,-1513,65.51,89.94,111.27,0.94
316,-747,65.74,89.51,111.05,0.94
317,-133,65.7,89.37,110.92,0.94
318,31,65.67,89.33,110.87,0.94
319,-158,65.53,89.24,110.72,0.94
320,-777,65.03,89.33,110.49,0.94
321,-1513,64.43,90.05,110.72,0.95
322,-2117,64.39,91.32,111.74,0.96
323,-2344,65.21,92.45,113.14,0.96
324,-2115,66.44,92.81,114.13,0.95
325,-1515,67.3,92.45,114.35,0.94
326,-745,67.53,92.02,114.14,0.94
327,-134,67.49,91.87,114,0.94
328,30,67.46,91.83,113.95,0.94
329,-159,67.32,91.74,113.79,0.94
330,-774,66.82,91.84,113.57,0.94
331,-1517,66.21,92.55,113.8,0.95
332,-2115,66.17,93.82,114.81,0.96
333,-2348,67,94.95,116.21,0.96
334,-2107,68.21,95.3,117.2,0.95
335,-1513,69.08,94.95,117.42,0.94
336,-739,69.3,94.51,117.2,0.94
337,-133,69.26,94.37,117.06,0.94
338,29,69.23,94.33,117,0.94
339,-159,69.09,94.24,116.85,0.94
340,-780,68.58,94.33,116.62,0.94
341,-1517,67.98,95.04,116.85,0.95
342,-2111,67.93,96.31,117.86,0.96
343,-2347,68.76,97.44,119.26,0.96
344,-2112,69.98,97.79,120.25,0.95
345,-1518,70.84,97.43,120.46,0.94
346,-745,71.07,96.99,120.24,0.94
347,-133,71.03,96.85,120.1,0.94
348,30,70.99,96.8,120.04,0.94
349,-159,70.85,96.71,119.89,0.94
350,-777,70.34,96.8,119.66,0.94
351,-1514,69.74,97.51,119.88,0.95
352,-2118,69.7,98.78,120.89,0.96
353,-2344,70.52,99.91,122.29,0.96
354,-2114,71.74,100.25,123.28,0.95
355,-1513,72.6,99.9,123.49,0.94
356,-746,72.83,99.46,123.27,0.94
357,-134,72.78,99.31,123.12,0.94
358,29,72.74,99.26,123.06,0.94
359,-158,72.6,99.17,122.91,0.94
360,-780,72.09,99.26,122.68,0.94
361,-1516,71.49,99.97,122.9,0.95
362,-2120,71.44,101.23,123.91,0.96
363,-2343,72.26,102.36,125.3,0.96
364,-2116,73.48,102.71,126.29,0.95
365,-1515,74.34,102.35,126.5,0.94
366,-744,74.57,101.91,126.28,0.94
367,-135,74.52,101.76,126.13,0.94
368,29,74.49,101.71,126.07,0.94
369,-159,74.34,101.61,125.91,0.94
370,-779,73.83,101.7,125.68,0.94
371,-1515,73.23,102.41,125.9,0.95
372,-2119,73.18,103.67,126.9,0.96
373,-2347,74,104.8,128.3,0.96
374,-2116,75.22,105.15,129.28,0.95
375,-1514,76.08,104.79,129.49,0.94
376,-746,76.3,104.34,129.27,0.94
377,-133,76.26,104.19,129.12,0.94
378,30,76.22,104.14,129.05,0.94
379,-157,76.08,104.05,128.89,0.94
380,-778,75.56,104.13,128.66,0.94
381,-1516,74.96,104.84,128.88,0.95
382,-2118,74.91,106.1,129.88,0.96
383,-2344,75.73,107.23,131.27,0.96
384,-2113,76.94,107.57,132.26,0.95
385,-1512,77.8,107.21,132.46,0.94
386,-745,78.02,106.76,132.23,0.94
387,-132,77.98,106.61,132.08,0.94
388,30,77.94,106.56,132.02,0.94
389,-159,77.79,106.46,131.86,0.94
390,-778,77.28,106.55,131.62,0.94
391,-1515,76.67,107.25,131.84,0.95
392,-2118,76.62,108.51,132.84,0.96
393,-2345,77.44,109.64,134.23,0.96
394,-2116,78.66,109.98,135.21,0.95
395,-1514,79.51,109.62,135.42,0.94
396,-746,79.74,109.17,135.19,0.94
397,-134,79.69,109.01,135.03,0.94
398,31,79.65,108.96,134.97,0.94
399,-159,79.5,108.86,134.8,0.94
400,-778,78.99,108.95,134.57,0.94
401,-1515,78.38,109.65,134.78,0.95
402,-2118,78.33,110.91,135.78,0.96
403,-2344,79.15,112.03,137.17,0.96
404,-2112,80.36,112.37,138.15,0.95
405,-1513,81.21,112.01,138.35,0.94
406,-746,81.44,111.56,138.12,0.94
407,-132,81.39,111.4,137.96,0.94
408,32,81.35,111.35,137.9,0.94
409,-157,81.2,111.25,137.73,0.94
410,-779,80.69,111.33,137.49,0.94
411,-1516,80.07,112.03,137.71,0.95
412,-2118,80.02,113.29,138.7,0.96
413,-2346,80.84,114.41,140.09,0.96
414,-2113,82.05,114.75,141.07,0.95
415,-1513,82.9,114.38,141.27,0.94
