Samp,Signal,I,Q,R,Phi
1860,-789,240.52,338.22,415.02,0.95
1861,-1524,239.8,338.78,415.07,0.95
1862,-2121,239.65,339.9,415.9,0.96
1863,-2344,240.37,340.88,417.11,0.96
1864,-2110,241.48,341.08,417.91,0.95
1865,-1506,242.23,340.57,417.93,0.95
1866,-745,242.35,339.98,417.51,0.95
1867,-133,242.2,339.68,417.18,0.95
1868,29,242.06,339.48,416.94,0.95
1869,-164,241.81,339.24,416.6,0.95
1870,-786,241.18,339.18,416.19,0.95
1871,-1525,240.47,339.74,416.23,0.95
1872,-2123,240.32,340.86,417.06,0.96
1873,-2345,241.03,341.84,418.27,0.96
1874,-2111,242.14,342.03,419.07,0.95
1875,-1507,242.89,341.52,419.09,0.95
1876,-738,243.01,340.93,418.68,0.95
1877,-130,242.86,340.64,418.35,0.95
1878,31,242.72,340.44,418.1,0.95
1879,-162,242.47,340.19,417.76,0.95
1880,-786,241.85,340.13,417.35,0.95
1881,-1523,241.13,340.69,417.39,0.95
1882,-2122,240.98,341.81,418.22,0.96
1883,-2343,241.69,342.79,419.43,0.96
1884,-2110,242.8,342.98,420.23,0.95
1885,-1506,243.55,342.48,420.25,0.95
1886,-746,243.67,341.88,419.83,0.95
1887,-131,243.52,341.58,419.5,0.95
1888,29,243.38,341.38,419.26,0.95
1889,-164,243.13,341.14,418.91,0.95
1890,-786,242.5,341.08,418.5,0.95
1891,-1524,241.79,341.64,418.54,0.95
1892,-2123,241.64,342.76,419.37,0.96
1893,-2346,242.35,343.73,420.58,0.96
1894,-2109,243.46,343.93,421.38,0.95
1895,-1506,244.21,343.42,421.39,0.95
1896,-746,244.33,342.82,420.98,0.95
1897,-133,244.17,342.52,420.65,0.95
1898,28,244.03,342.32,420.4,0.95
1899,-164,243.78,342.08,420.05,0.95
1900,-787,243.16,342.01,419.64,0.95
1901,-1525,242.44,342.57,419.68,0.95
1902,-2123,242.29,343.69,420.51,0.96
1903,-2345,243,344.67,421.72,0.96
1904,-2110,244.11,344.86,422.52,0.95
1905,-1506,244.86,344.35,422.53,0.95
1906,-746,244.98,343.76,422.12,0.95
1907,-133,244.82,343.46,421.78,0.95
1908,29,244.68,343.26,421.54,0.95
1909,-166,244.43,343.01,421.19,0.95
1910,-786,243.81,342.95,420.78,0.95
1911,-1524,243.09,343.5,420.82,0.95
1912,-2123,242.94,344.62,421.64,0.96
1913,-2344,243.65,345.6,422.85,0.96
1914,-2111,244.76,345.79,423.65,0.95
1915,-1506,245.5,345.28,423.66,0.95
1916,-746,245.63,344.68,423.25,0.95
1917,-132,245.47,344.38,422.91,0.95
1918,29,245.33,344.18,422.67,0.95
1919,-164,245.08,343.93,422.32,0.95
1920,-786,244.45,343.87,421.91,0.95
1921,-1524,243.74,344.43,421.95,0.95
1922,-2122,243.58,345.55,422.77,0.96
1923,-2344,244.3,346.52,423.98,0.96
1924,-2110,245.4,346.71,424.77,0.95
1925,-1506,246.15,346.2,424.79,0.95
1926,-746,246.27,345.61,424.37,0.95
1927,-132,246.11,345.31,424.04,0.95
1928,29,245.97,345.1,423.79,0.95
1929,-164,245.72,344.86,423.44,0.95
1930,-787,245.09,344.79,423.03,0.95
1931,-1523,244.38,345.35,423.07,0.95
1932,-2122,244.22,346.46,423.89,0.96
1933,-2345,244.94,347.44,425.1,0.96
1934,-2109,246.04,347.63,425.89,0.95
1935,-1506,246.79,347.12,425.91,0.95
1936,-745,246.91,346.52,425.49,0.95
1937,-131,246.75,346.22,425.15,0.95
1938,29,246.61,346.02,424.91,0.95
1939,-164,246.35,345.77,424.56,0.95
1940,-786,245.73,345.71,424.14,0.95
1941,-1524,245.01,346.26,424.18,0.95
1942,-2122,244.86,347.38,425,0.96
1943,-2343,245.57,348.35,426.21,0.96
1944,-2110,246.68,348.54,427,0.95
1945,-1506,247.42,348.03,427.02,0.95
1946,-745,247.54,347.43,426.6,0.95
1947,-132,247.39,347.13,426.26,0.95
1948,28,247.24,346.93,426.01,0.95
1949,-165,246.99,346.68,425.66,0.95
1950,-787,246.36,346.61,425.25,0.95
1951,-1524,245.64,347.17,425.29,0.96
1952,-2124,245.49,348.29,426.11,0.96
1953,-2345,246.2,349.26,427.31,0.96
1954,-2111,247.31,349.45,428.11,0.95
1955,-1506,248.05,348.94,428.12,0.95
1956,-745,248.17,348.34,427.7,0.95
1957,-133,248.02,348.04,427.37,0.95
1958,28,247.87,347.83,427.12,0.95
1959,-164,247.62,347.58,426.76,0.95
1960,-787,246.99,347.52,426.35,0.95
1961,-1524,246.27,348.07,426.39,0.96
1962,-2125,246.12,349.19,427.21,0.96
1963,-2344,246.83,350.16,428.41,0.96
1964,-2108,247.93,350.35,429.2,0.95
1965,-1506,248.68,349.84,429.22,0.95
1966,-745,248.8,349.24,428.8,0.95
1967,-133,248.64,348.94,428.46,0.95
1968,29,248.49,348.73,428.21,0.95
1969,-164,248.24,348.48,427.86,0.95
1970,-788,247.61,348.42,427.44,0.95
1971,-1525,246.9,348.97,427.48,0.96
1972,-2124,246.74,350.09,428.3,0.96
1973,-2345,247.45,351.06,429.5,0.96
1974,-2109,248.56,351.25,430.3,0.95
1975,-1505,249.3,350.73,430.31,0.95
1976,-744,249.42,350.14,429.89,0.95
1977,-132,249.26,349.83,429.55,0.95
1978,29,249.11,349.63,429.3,0.95
1979,-163,248.86,349.38,428.95,0.95
1980,-787,248.23,349.31,428.53,0.95
1981,-1521,247.52,349.86,428.57,0.96
1982,-2126,247.36,350.98,429.39,0.96
1983,-2338,248.07,351.95,430.59,0.96
1984,-2112,249.17,352.14,431.38,0.95
1985,-1505,249.92,351.62,431.39,0.95
1986,-740,250.03,351.03,430.97,0.95
1987,-124,249.88,350.73,430.64,0.95
1988,27,249.73,350.52,430.38,0.95
1989,-158,249.48,350.27,430.03,0.95
1990,-790,248.85,350.2,429.61,0.95
1991,-1528,248.13,350.76,429.65,0.96
1992,-2125,247.97,351.87,430.47,0.96
1993,-2346,248.68,352.84,431.67,0.96
1994,-2111,249.79,353.03,432.47,0.96
1995,-1505,250.53,352.52,432.48,0.95
1996,-746,250.65,351.92,432.06,0.95
1997,-133,250.49,351.61,431.72,0.95
1998,28,250.34,351.41,431.46,0.95
1999,-165,250.09,351.15,431.11,0.95
2000,-788,249.46,351.09,430.69,0.95
2001,-1524,248.74,351.64,430.72,0.96
2002,-2125,248.59,352.75,431.54,0.96
2003,-2344,249.29,353.72,432.75,0.96
2004,-2108,250.4,353.91,433.53,0.96
2005,-1505,251.14,353.4,433.54,0.95
2006,-745,251.26,352.8,433.12,0.95
2007,-131,251.1,352.49,432.78,0.95
2008,30,250.95,352.29,432.53,0.95
2009,-163,250.7,352.03,432.18,0.95
2010,-789,250.07,351.97,431.76,0.95
2011,-1525,249.35,352.52,431.79,0.96
2012,-2122,249.19,353.63,432.61,0.96
2013,-2345,249.9,354.6,433.81,0.96
2014,-2110,251,354.79,434.6,0.96
2015,-1506,251.75,354.27,434.61,0.95
2016,-744,251.86,353.67,434.19,0.95
2017,-133,251.7,353.37,433.85,0.95
2018,29,251.56,353.16,433.59,0.95
2019,-165,251.3,352.9,433.24,0.95
2020,-787,250.67,352.84,432.82,0.95
2021,-1525,249.95,353.39,432.85,0.96
2022,-2124,249.8,354.5,433.67,0.96
2023,-2346,250.5,355.47,434.87,0.96
2024,-2110,251.61,355.66,435.66,0.96
2025,-1505,252.35,355.14,435.67,0.95
2026,-745,252.47,354.54,435.24,0.95
2027,-132,252.31,354.23,434.9,0.95
2028,29,252.16,354.03,434.65,0.95
2029,-165,251.9,353.77,434.29,0.95
2030,-788,251.27,353.7,433.87,0.95
2031,-1526,250.55,354.26,433.9,0.96
2032,-2122,250.39,355.37,434.72,0.96
2033,-2343,251.1,356.33,435.92,0.96
2034,-2110,252.21,356.52,436.71,0.96
2035,-1506,252.95,356,436.71,0.95
2036,-745,253.06,355.4,436.29,0.95
2037,-131,252.9,355.1,435.95,0.95
2038,29,252.76,354.89,435.69,0.95
2039,-165,252.5,354.63,435.34,0.95
2040,-786,251.87,354.56,434.92,0.95
2041,-1525,251.15,355.11,434.95,0.96
2042,-2124,250.99,356.23,435.77,0.96
2043,-2346,251.7,357.19,436.97,0.96
2044,-2109,252.8,357.38,437.75,0.96
2045,-1504,253.54,356.86,437.76,0.95
2046,-745,253.66,356.26,437.34,0.95
2047,-124,253.5,355.96,437,0.95
2048,32,253.35,355.75,436.74,0.95
2049,-163,253.09,355.5,436.39,0.95
2050,-789,252.46,355.43,435.96,0.95
2051,-1526,251.74,355.98,436,0.96
2052,-2124,251.58,357.09,436.81,0.96
2053,-2345,252.29,358.06,438.01,0.96
2054,-2109,253.39,358.24,438.8,0.96
2055,-1504,254.13,357.72,438.8,0.95
2056,-740,254.25,357.12,438.38,0.95
2057,-131,254.09,356.82,438.04,0.95
2058,30,253.94,356.61,437.78,0.95
2059,-165,253.68,356.35,437.42,0.95
2060,-787,253.05,356.28,437,0.95
2061,-1525,252.33,356.83,437.03,0.96
2062,-2124,252.17,357.94,437.85,0.96
2063,-2347,252.88,358.91,439.05,0.96
2064,-2110,253.98,359.09,439.83,0.96
2065,-1504,254.72,358.57,439.84,0.95
2066,-745,254.83,357.97,439.41,0.95
2067,-132,254.67,357.66,439.07,0.95
2068,28,254.52,357.45,438.81,0.95
2069,-164,254.27,357.2,438.45,0.95
2070,-787,253.64,357.12,438.03,0.95
2071,-1525,252.91,357.68,438.06,0.96
2072,-2123,252.75,358.78,438.87,0.96
2073,-2344,253.46,359.75,440.07,0.96
2074,-2110,254.56,359.93,440.86,0.96
2075,-1504,255.3,359.42,440.86,0.95
2076,-744,255.42,358.81,440.43,0.95
2077,-130,255.25,358.5,440.09,0.95
2078,31,255.11,358.3,439.83,0.95
2079,-164,254.85,358.04,439.48,0.95
2080,-788,254.22,357.97,439.05,0.95
2081,-1524,253.49,358.52,439.08,0.96
2082,-2124,253.34,359.63,439.9,0.96
2083,-2346,254.04,360.59,441.09,0.96
2084,-2108,255.14,360.77,441.88,0.96
2085,-1504,255.88,360.26,441.88,0.95
2086,-743,255.99,359.65,441.45,0.95
2087,-132,255.83,359.34,441.11,0.95
2088,28,255.68,359.13,440.85,0.95
2089,-163,255.42,358.87,440.49,0.95
2090,-788,254.79,358.8,440.07,0.95
2091,-1524,254.07,359.35,440.1,0.96
2092,-2125,253.91,360.46,440.91,0.96
2093,-2343,254.62,361.42,442.11,0.96
2094,-2108,255.72,361.61,442.89,0.96
2095,-1507,256.46,361.09,442.89,0.95
2096,-737,256.57,360.48,442.47,0.95
2097,-129,256.41,360.18,442.12,0.95
2098,31,256.26,359.97,441.86,0.95
2099,-164,256,359.71,441.5,0.95
2100,-787,255.37,359.64,441.08,0.95
2101,-1523,254.64,360.18,441.11,0.96
2102,-2122,254.48,361.29,441.92,0.96
2103,-2345,255.19,362.26,443.11,0.96
2104,-2109,256.29,362.44,443.9,0.96
2105,-1504,257.03,361.92,443.9,0.95
2106,-744,257.14,361.31,443.47,0.95
2107,-132,256.98,361,443.13,0.95
2108,30,256.83,360.79,442.87,0.95
2109,-165,256.57,360.53,442.5,0.95
2110,-787,255.94,360.46,442.08,0.95
2111,-1525,255.21,361.01,442.11,0.96
2112,-2125,255.05,362.11,442.92,0.96
2113,-2344,255.76,363.08,444.12,0.96
2114,-2108,256.86,363.26,444.9,0.96
2115,-1505,257.59,362.74,444.9,0.95
2116,-743,257.71,362.13,444.47,0.95
2117,-132,257.55,361.82,444.12,0.95
2118,30,257.39,361.61,443.86,0.95
2119,-165,257.13,361.35,443.5,0.95
2120,-787,256.5,361.28,443.07,0.95
2121,-1524,255.78,361.83,443.1,0.96
2122,-2122,255.62,362.93,443.91,0.96
2123,-2344,256.32,363.89,445.11,0.96
2124,-2108,257.42,364.07,445.89,0.96
2125,-1505,258.16,363.55,445.89,0.95
2126,-742,258.27,362.95,445.46,0.95
2127,-132,258.11,362.64,445.11,0.95
2128,29,257.96,362.42,444.85,0.95
2129,-164,257.7,362.17,444.49,0.95
2130,-788,257.06,362.09,444.06,0.95
2131,-1525,256.34,362.64,444.09,0.96
2132,-2124,256.18,363.74,444.9,0.96
2133,-2344,256.88,364.71,446.09,0.96
2134,-2108,257.98,364.89,446.87,0.96
2135,-1505,258.72,364.37,446.88,0.95
2136,-745,258.83,363.76,446.45,0.95
2137,-131,258.67,363.45,446.1,0.95
2138,29,258.52,363.23,445.84,0.95
2139,-163,258.26,362.97,445.47,0.95
2140,-788,257.62,362.9,445.05,0.95
2141,-1526,256.9,363.45,445.07,0.96
2142,-2122,256.74,364.55,445.88,0.96
2143,-2345,257.44,365.51,447.08,0.96
2144,-2110,258.54,365.69,447.86,0.96
2145,-1506,259.28,365.17,447.86,0.95
2146,-744,259.39,364.56,447.43,0.95
2147,-131,259.23,364.25,447.08,0.95
2148,29,259.07,364.04,446.82,0.95
2149,-164,258.81,363.78,446.45,0.95
2150,-788,258.18,363.7,446.02,0.95
2151,-1525,257.46,364.25,446.05,0.96
2152,-2124,257.29,365.35,446.86,0.96
2153,-2344,258,366.32,448.05,0.96
2154,-2109,259.1,366.5,448.83,0.96
2155,-1505,259.83,365.97,448.83,0.95
2156,-744,259.94,365.37,448.4,0.95
2157,-132,259.78,365.05,448.05,0.95
2158,29,259.63,364.84,447.79,0.95
2159,-165,259.37,364.58,447.42,0.95
2160,-789,258.73,364.5,446.99,0.95
2161,-1526,258.01,365.05,447.02,0.96
2162,-2123,257.84,366.15,447.83,0.96
2163,-2345,258.55,367.11,449.02,0.96
2164,-2110,259.65,367.29,449.8,0.96
2165,-1506,260.38,366.77,449.8,0.95
2166,-743,260.49,366.16,449.37,0.95
2167,-131,260.33,365.85,449.02,0.95
2168,31,260.18,365.64,448.76,0.95
2169,-163,259.92,365.37,448.39,0.95
2170,-789,259.28,365.3,447.96,0.95
2171,-1525,258.56,365.84,447.99,0.96
2172,-2124,258.39,366.95,448.8,0.96
2173,-2346,259.1,367.91,449.99,0.96
2174,-2109,260.19,368.09,450.77,0.96
2175,-1505,260.93,367.56,450.76,0.95
2176,-744,261.04,366.96,450.33,0.95
2177,-133,260.88,366.64,449.98,0.95
2178,28,260.72,366.42,449.72,0.95
2179,-165,260.46,366.16,449.35,0.95
2180,-789,259.83,366.09,448.92,0.95
2181,-1526,259.1,366.63,448.94,0.96
2182,-2123,258.94,367.73,449.75,0.96
2183,-2343,259.64,368.69,450.94,0.96
2184,-2110,260.74,368.87,451.72,0.96
2185,-1504,261.47,368.35,451.72,0.95
2186,-743,261.58,367.74,451.28,0.95
2187,-131,261.42,367.43,450.93,0.95
2188,31,261.26,367.21,450.67,0.95
2189,-165,261,366.95,450.3,0.95
2190,-787,260.37,366.87,449.87,0.95
2191,-1525,259.64,367.42,449.9,0.96
2192,-2125,259.48,368.52,450.71,0.96
2193,-2345,260.18,369.48,451.9,0.96
2194,-2109,261.28,369.66,452.67,0.96
2195,-1503,262.01,369.13,452.67,0.95
2196,-743,262.12,368.52,452.24,0.95
2197,-131,261.96,368.21,451.88,0.95
2198,30,261.8,367.99,451.62,0.95
2199,-164,261.54,367.73,451.25,0.95
2200,-789,260.91,367.65,450.82,0.95
2201,-1525,260.18,368.2,450.85,0.96
2202,-2124,260.01,369.3,451.65,0.96
2203,-2345,260.72,370.26,452.84,0.96
2204,-2109,261.81,370.44,453.62,0.96
2205,-1506,262.55,369.91,453.61,0.95
2206,-744,262.66,369.3,453.18,0.95
2207,-130,262.49,368.99,452.83,0.95
2208,30,262.34,368.77,452.56,0.95
2209,-164,262.08,368.51,452.2,0.95
2210,-789,261.44,368.43,451.76,0.95
2211,-1525,260.71,368.97,451.79,0.96
2212,-2125,260.55,370.08,452.59,0.96
2213,-2345,261.25,371.03,453.78,0.96
2214,-2107,262.35,371.21,454.56,0.96
2215,-1505,263.08,370.68,454.55,0.95
2216,-743,263.19,370.07,454.12,0.95
2217,-132,263.02,369.76,453.77,0.95
2218,29,262.87,369.54,453.5,0.95
2219,-165,262.61,369.28,453.13,0.95
2220,-788,261.97,369.2,452.7,0.95
2221,-1527,261.24,369.74,452.72,0.96
2222,-2126,261.08,370.85,453.53,0.96
2223,-2345,261.78,371.8,454.72,0.96
2224,-2109,262.88,371.98,455.49,0.96
2225,-1504,263.61,371.45,455.49,0.95
2226,-743,263.72,370.84,455.05,0.95
2227,-132,263.55,370.53,454.7,0.95
2228,29,263.4,370.31,454.43,0.95
2229,-166,263.13,370.05,454.06,0.95
2230,-789,262.5,369.97,453.63,0.95
2231,-1526,261.77,370.51,453.65,0.96
2232,-2122,261.6,371.61,454.46,0.96
2233,-2343,262.3,372.57,455.64,0.96
2234,-2109,263.4,372.74,456.42,0.96
2235,-1504,264.13,372.22,456.41,0.95
2236,-742,264.24,371.6,455.97,0.95
2237,-132,264.07,371.29,455.62,0.95
2238,29,263.92,371.07,455.35,0.95
2239,-166,263.65,370.8,454.98,0.95
2240,-788,263.02,370.72,454.55,0.95
2241,-1526,262.29,371.27,454.57,0.96
2242,-2124,262.12,372.37,455.38,0.96
2243,-2344,262.83,373.33,456.56,0.96
2244,-2107,263.92,373.5,457.34,0.96
2245,-1504,264.65,372.97,457.33,0.95
2246,-744,264.76,372.36,456.89,0.95
2247,-131,264.59,372.04,456.54,0.95
2248,30,264.44,371.83,456.27,0.95
2249,-164,264.17,371.56,455.9,0.95
2250,-789,263.54,371.48,455.47,0.95
2251,-1524,262.81,372.02,455.49,0.96
2252,-2123,262.64,373.12,456.29,0.96
2253,-2345,263.35,374.08,457.48,0.96
2254,-2108,264.44,374.25,458.25,0.96
2255,-1505,265.17,373.73,458.24,0.95
2256,-743,265.28,373.11,457.81,0.95
2257,-132,265.11,372.8,457.45,0.95
2258,29,264.96,372.58,457.18,0.95
2259,-165,264.69,372.31,456.81,0.95
2260,-789,264.05,372.23,456.38,0.95
2261,-1525,263.33,372.77,456.4,0.96
2262,-2124,263.16,373.87,457.2,0.96
2263,-2344,263.86,374.83,458.39,0.96
2264,-2107,264.95,375,459.16,0.96
2265,-1504,265.69,374.47,459.15,0.95
2266,-744,265.79,373.86,458.71,0.95
2267,-131,265.63,373.54,458.36,0.95
2268,31,265.47,373.32,458.09,0.95
2269,-164,265.21,373.06,457.72,0.95
2270,-789,264.57,372.98,457.28,0.95
2271,-1526,263.84,373.52,457.3,0.96
2272,-2123,263.67,374.62,458.11,0.96
2273,-2343,264.37,375.57,459.29,0.96
2274,-2110,265.47,375.75,460.06,0.96
2275,-1504,266.2,375.22,460.05,0.95
2276,-742,266.31,374.6,459.62,0.95
2277,-131,266.14,374.29,459.26,0.95
2278,30,265.98,374.07,458.99,0.95
2279,-166,265.72,373.8,458.62,0.95
2280,-788,265.08,373.72,458.18,0.95
2281,-1523,264.35,374.26,458.2,0.96
2282,-2124,264.18,375.36,459,0.96
2283,-2344,264.88,376.31,460.19,0.96
2284,-2107,265.98,376.48,460.96,0.96
2285,-1503,266.71,375.96,460.95,0.95
2286,-741,266.81,375.34,460.51,0.95
2287,-131,266.64,375.03,460.16,0.95
2288,30,266.49,374.81,459.89,0.95
2289,-164,266.22,374.54,459.51,0.95
2290,-789,265.58,374.46,459.08,0.95
2291,-1525,264.85,375,459.1,0.96
2292,-2124,264.69,376.09,459.9,0.96
2293,-2345,265.39,377.05,461.08,0.96
2294,-2109,266.48,377.22,461.85,0.96
2295,-1504,267.21,376.69,461.84,0.95
2296,-742,267.32,376.08,461.41,0.95
2297,-129,267.15,375.76,461.05,0.95
2298,30,266.99,375.54,460.78,0.95
2299,-164,266.73,375.27,460.41,0.95
2300,-787,266.09,375.19,459.97,0.95
2301,-1524,265.36,375.73,459.99,0.96
2302,-2123,265.19,376.83,460.79,0.96
2303,-2345,265.89,377.78,461.97,0.96
2304,-2108,266.99,377.95,462.74,0.96
2305,-1505,267.72,377.42,462.73,0.95
2306,-744,267.82,376.81,462.29,0.95
2307,-131,267.65,376.49,461.93,0.95
2308,30,267.5,376.27,461.66,0.95
2309,-166,267.23,376,461.29,0.95
2310,-788,266.59,375.92,460.85,0.95
2311,-1527,265.86,376.46,460.87,0.96
2312,-2124,265.69,377.55,461.67,0.96
2313,-2343,266.39,378.51,462.85,0.96
2314,-2108,267.48,378.68,463.62,0.96
2315,-1504,268.21,378.15,463.61,0.95
2316,-742,268.32,377.53,463.17,0.95
2317,-130,268.15,377.22,462.81,0.95
2318,31,267.99,376.99,462.54,0.95
2319,-165,267.73,376.73,462.17,0.95
2320,-787,267.09,376.64,461.73,0.95
2321,-1525,266.36,377.18,461.75,0.96
2322,-2124,266.19,378.28,462.55,0.96
2323,-2343,266.89,379.23,463.73,0.96
2324,-2109,267.98,379.4,464.5,0.96
2325,-1504,268.71,378.87,464.49,0.95
2326,-743,268.82,378.26,464.05,0.95
2327,-131,268.65,377.94,463.69,0.95
2328,31,268.49,377.71,463.42,0.95
2329,-162,268.23,377.45,463.04,0.95
2330,-790,267.59,377.36,462.61,0.95
2331,-1525,266.85,377.9,462.62,0.96
2332,-2124,266.69,379,463.42,0.96
2333,-2344,267.38,379.95,464.6,0.96
2334,-2108,268.48,380.12,465.37,0.96
2335,-1505,269.21,379.59,465.36,0.95
2336,-744,269.31,378.97,464.92,0.95
2337,-131,269.14,378.65,464.56,0.95
2338,31,268.98,378.43,464.29,0.95
2339,-165,268.72,378.16,463.91,0.95
2340,-789,268.08,378.08,463.47,0.95
2341,-1525,267.35,378.61,463.49,0.96
2342,-2123,267.18,379.71,464.29,0.96
2343,-2345,267.88,380.66,465.47,0.96
2344,-2108,268.97,380.83,466.24,0.96
2345,-1502,269.7,380.3,466.22,0.95
2346,-745,269.8,379.68,465.78,0.95
2347,-134,269.63,379.36,465.42,0.95
2348,28,269.47,379.14,465.15,0.95
2349,-166,269.2,378.87,464.77,0.95
2350,-789,268.56,378.78,464.33,0.95
2351,-1527,267.83,379.32,464.35,0.96
2352,-2125,267.66,380.42,465.15,0.96
2353,-2344,268.36,381.37,466.33,0.96
2354,-2109,269.45,381.54,467.09,0.96
2355,-1504,270.18,381.01,467.08,0.95
2356,-743,270.29,380.39,466.64,0.95
2357,-130,270.12,380.07,466.28,0.95
2358,31,269.96,379.85,466.01,0.95
2359,-165,269.69,379.58,465.63,0.95
2360,-790,269.05,379.49,465.19,0.95
2361,-1525,268.32,380.03,465.2,0.96
2362,-2124,268.15,381.12,466,0.96
2363,-2345,268.84,382.08,467.18,0.96
2364,-2109,269.94,382.24,467.95,0.96
2365,-1504,270.66,381.71,467.94,0.95
2366,-743,270.77,381.1,467.49,0.95
2367,-123,270.6,380.78,467.14,0.95
2368,32,270.44,380.56,466.86,0.95
2369,-164,270.17,380.29,466.49,0.95
2370,-790,269.53,380.2,466.05,0.95
2371,-1527,268.8,380.74,466.06,0.96
2372,-2124,268.63,381.83,466.86,0.96
2373,-2346,269.33,382.78,468.04,0.96
2374,-2109,270.42,382.95,468.81,0.96
2375,-1504,271.15,382.42,468.79,0.95
2376,-740,271.25,381.8,468.35,0.95
2377,-129,271.08,381.48,467.99,0.95
2378,30,270.92,381.26,467.71,0.95
2379,-165,270.65,380.99,467.34,0.95
2380,-791,270.01,380.9,466.89,0.95
2381,-1526,269.28,381.44,466.91,0.96
2382,-2123,269.11,382.53,467.71,0.96
2383,-2345,269.8,383.48,468.88,0.96
2384,-2108,270.89,383.65,469.65,0.96
2385,-1502,271.62,383.12,469.64,0.95
2386,-744,271.72,382.5,469.19,0.95
2387,-132,271.55,382.18,468.83,0.95
2388,28,271.39,381.95,468.55,0.95
2389,-163,271.13,381.68,468.18,0.95
2390,-788,270.48,381.59,467.73,0.95
2391,-1527,269.75,382.13,467.75,0.96
2392,-2125,269.58,383.22,468.55,0.96
2393,-2340,270.28,384.17,469.72,0.96
2394,-2108,271.37,384.34,470.49,0.96
2395,-1500,272.09,383.81,470.47,0.95
2396,-736,272.19,383.19,470.03,0.95
2397,-137,272.02,382.87,469.66,0.95
2398,37,271.86,382.64,469.39,0.95
2399,-171,271.59,382.37,469.01,0.95
2400,-787,270.95,382.28,468.57,0.95
2401,-1531,270.21,382.82,468.58,0.96
2402,-2120,270.05,383.91,469.37,0.96
2403,-2349,270.74,384.86,470.56,0.96
2404,-2112,271.83,385.03,471.32,0.96
2405,-1508,272.56,384.5,471.31,0.95
2406,-729,272.66,383.89,470.86,0.95
2407,-117,272.49,383.57,470.51,0.95
2408,28,272.33,383.34,470.23,0.95
2409,-166,272.06,383.07,469.85,0.95
2410,-789,271.42,382.98,469.41,0.95
2411,-1527,270.68,383.52,469.42,0.96
2412,-2124,270.51,384.61,470.22,0.96
2413,-2345,271.21,385.56,471.4,0.96
2414,-2107,272.3,385.73,472.16,0.96
2415,-1504,273.03,385.2,472.14,0.95
2416,-744,273.13,384.58,471.7,0.95
2417,-131,272.96,384.25,471.33,0.95
2418,29,272.8,384.02,471.06,0.95
2419,-165,272.53,383.75,470.68,0.95
2420,-789,271.88,383.66,470.23,0.95
2421,-1526,271.15,384.2,470.25,0.96
2422,-2124,270.98,385.29,471.04,0.96
2423,-2344,271.67,386.24,472.22,0.96
2424,-2107,272.76,386.41,472.98,0.96
2425,-1502,273.49,385.87,472.96,0.95
2426,-743,273.59,385.25,472.52,0.95
2427,-131,273.42,384.93,472.15,0.95
2428,29,273.26,384.7,471.87,0.95
2429,-166,272.99,384.43,471.49,0.95
2430,-789,272.34,384.34,471.05,0.95
2431,-1526,271.61,384.87,471.06,0.96
2432,-2123,271.44,385.96,471.86,0.96
2433,-2344,272.13,386.91,473.03,0.96
2434,-2107,273.22,387.08,473.79,0.96
2435,-1501,273.95,386.54,473.78,0.95
2436,-744,274.05,385.92,473.33,0.95
2437,-131,273.88,385.6,472.96,0.95
2438,30,273.72,385.37,472.69,0.95
2439,-164,273.45,385.1,472.31,0.95
2440,-790,272.8,385.01,471.86,0.95
2441,-1525,272.07,385.54,471.87,0.96
2442,-2124,271.9,386.63,472.67,0.96
2443,-2344,272.59,387.58,473.84,0.96
2444,-2107,273.68,387.75,474.6,0.96
2445,-1503,274.41,387.21,474.59,0.95
2446,-741,274.51,386.59,474.14,0.95
2447,-131,274.34,386.27,473.78,0.95
2448,29,274.17,386.04,473.5,0.95
2449,-166,273.9,385.77,473.11,0.95
2450,-790,273.26,385.68,472.67,0.95
2451,-1526,272.52,386.21,472.68,0.96
2452,-2124,272.35,387.3,473.47,0.96
2453,-2346,273.05,388.25,474.65,0.96
2454,-2107,274.13,388.42,475.41,0.96
2455,-1502,274.86,387.88,475.39,0.95
2456,-742,274.96,387.26,474.95,0.95
2457,-131,274.79,386.93,474.58,0.95
2458,29,274.63,386.71,474.3,0.95
2459,-166,274.35,386.43,473.92,0.95
2460,-791,273.71,386.34,473.47,0.95
2461,-1527,272.97,386.87,473.48,0.96
2462,-2124,272.8,387.97,474.28,0.96
2463,-2345,273.5,388.91,475.45,0.96
2464,-2107,274.58,389.08,476.21,0.96
2465,-1503,275.31,388.54,476.19,0.95
2466,-743,275.41,387.92,475.74,0.95
2467,-131,275.24,387.59,475.38,0.95
2468,30,275.08,387.37,475.1,0.95
2469,-166,274.8,387.09,474.72,0.95
2470,-790,274.16,387,474.27,0.95
2471,-1526,273.42,387.53,474.28,0.96
2472,-2123,273.25,388.62,475.07,0.96
2473,-2345,273.95,389.57,476.25,0.96
2474,-2108,275.03,389.74,477.01,0.96
2475,-1502,275.76,389.2,476.99,0.95
2476,-742,275.86,388.58,476.54,0.95
2477,-130,275.69,388.25,476.17,0.95
2478,31,275.52,388.02,475.89,0.95
2479,-163,275.25,387.75,475.51,0.95
2480,-790,274.61,387.66,475.07,0.95
2481,-1526,273.87,388.19,475.08,0.96
2482,-2124,273.7,389.28,475.87,0.96
2483,-2342,274.39,390.23,477.04,0.96
2484,-2106,275.48,390.39,477.8,0.96
